"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №2286"	
1629	1429	2066	1958	1952	1856	1907	1508	2062	1701	2063	955	1321	985	1651	698	961	2107	2737	434	
1400	1300	1900	1900	1900	1800	1900	1400	1900	1600	2000	900	1200	900	1600	600	900	2000	2600	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
968	896	1166	1172	1274	1161	1173	889	1338	953	1307	537	802	521	956	442	562	1114	1674	166	
41	15	134	20	28	22	26	17	29	19	36	7	12	48	22	14	33	62	38	125	
391	389	600	708	598	617	701	494	533	628	657	356	386	331	622	144	305	824	888	109	
41	15	134	20	28	22	26	17	29	19	36	7	12	48	22	14	33	62	38	125	
967	896	1164	1172	1273	1161	1173	889	1337	953	1307	537	801	521	956	442	562	1114	1674	166	
11	11	9	7	8	13	15	13	14	15	16	7	14	3	11	4	17	18	21	2	
997	900	1289	1185	1293	1170	1184	893	1352	957	1327	537	799	566	967	452	578	1158	1691	289	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	8	10	8	1	11	7	6	8	5	9	0	6	2	12	3	5	10	21	1	
163	147	182	179	203	179	193	142	201	149	211	90	136	75	151	103	101	185	296	18	
79	61	103	76	102	85	59	48	102	80	92	44	64	45	65	25	47	110	107	21	
715	656	951	892	945	863	899	675	995	700	974	394	577	431	714	305	408	814	1224	248	
15	15	15	10	9	11	9	8	16	9	18	1	7	3	6	5	7	14	7	0	
11	5	20	8	16	11	6	5	15	10	10	3	2	5	5	6	4	12	17	0	
4	4	3	4	9	5	7	6	8	3	8	2	4	2	9	4	5	6	13	0	
1	4	5	8	8	5	4	3	7	1	5	3	3	3	5	1	1	7	6	1	
