"УИК №292"	"УИК №293"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №300"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №317"	"УИК №318"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	
1571	1391	1482	1482	1527	1805	543	112	1125	126	98	116	151	85	656	249	236	410	111	327	177	417	147	343	548	380	662	165	359	226	315	139	1586	668	234	196	502	1196	327	752	
1600	1400	1400	1500	1500	1900	550	120	1100	160	110	130	170	100	680	260	250	400	110	350	200	450	160	360	570	400	650	170	380	240	320	150	1600	700	260	210	530	1100	340	740	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
811	825	914	921	937	991	315	105	554	70	69	97	103	68	382	174	143	222	68	181	113	258	98	227	299	219	416	104	251	98	215	106	942	399	156	143	283	730	205	586	
37	56	57	49	31	53	228	0	72	15	21	6	12	8	82	18	37	35	12	30	5	35	18	19	49	24	42	18	21	38	27	8	58	36	15	22	85	56	15	21	
752	519	429	530	532	856	7	15	474	75	20	27	55	24	216	68	70	143	30	139	82	157	44	114	222	157	192	48	108	104	78	36	600	265	89	45	162	314	120	133	
37	56	57	49	31	53	228	0	72	15	21	6	12	8	82	18	37	35	12	30	5	35	18	19	49	24	42	18	21	38	27	8	58	36	15	22	85	56	15	21	
811	825	914	921	937	991	315	105	554	70	69	97	103	68	382	174	143	222	68	181	113	258	98	227	299	219	416	104	251	98	215	106	942	399	156	143	283	730	205	586	
14	9	17	10	5	12	15	0	12	2	0	0	1	1	2	6	2	3	0	0	0	3	1	3	1	0	12	5	5	1	1	3	20	4	0	1	3	7	3	5	
834	872	954	960	963	1032	528	105	614	83	90	103	114	75	462	186	178	254	80	211	118	290	115	243	347	243	446	117	267	135	241	111	980	431	171	164	365	779	217	602	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	11	5	10	8	3	0	3	0	1	1	1	1	4	1	1	3	1	0	1	4	0	1	2	1	0	0	1	0	2	3	3	3	3	0	5	7	0	2	
136	145	136	185	160	144	36	16	112	6	27	3	6	4	56	29	24	26	4	17	6	32	9	32	56	25	47	31	24	16	32	8	228	68	15	30	77	134	12	65	
62	44	58	50	68	89	49	8	66	8	5	9	10	8	28	6	14	22	4	21	6	27	9	27	28	24	46	10	28	26	14	4	69	39	14	14	19	83	15	58	
616	651	729	698	703	760	420	79	415	67	56	88	94	62	368	145	135	202	68	170	102	212	93	177	253	185	347	75	211	91	186	95	653	312	137	116	256	540	186	463	
4	9	7	7	7	15	12	1	6	1	1	1	1	0	3	0	3	0	2	0	1	8	0	6	1	5	4	0	1	0	2	0	13	3	2	2	5	5	2	5	
5	5	4	8	3	8	0	1	5	0	0	0	1	0	0	2	1	1	1	3	1	2	3	0	4	2	0	0	0	2	4	0	5	4	0	1	1	6	0	4	
3	9	2	3	10	5	4	0	2	0	0	1	0	0	1	3	0	0	0	0	0	1	1	0	1	0	1	0	2	0	1	0	5	2	0	0	1	2	1	1	
2	6	7	4	2	3	4	0	5	1	0	0	1	0	2	0	0	0	0	0	1	4	0	0	2	1	1	1	0	0	0	1	4	0	0	1	1	2	1	4	
