"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	
1112	1113	1659	1188	259	162	138	288	151	362	436	871	236	198	372	200	106	382	369	171	137	404	248	495	209	220	206	256	301	285	174	272	219	248	517	344	436	520	225	
970	952	1459	1020	220	145	120	255	138	318	381	760	203	177	324	162	92	328	323	142	115	348	215	419	179	160	194	219	257	240	161	247	192	230	461	299	389	451	214	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
574	656	827	635	180	80	68	144	61	189	165	462	120	80	183	112	50	210	180	87	85	209	116	271	102	85	92	126	155	138	98	179	118	103	245	175	171	306	113	
66	60	106	84	31	52	35	58	53	67	132	70	33	31	67	40	27	87	82	30	24	112	75	49	45	62	53	61	65	65	40	36	28	80	106	48	98	59	58	
330	236	526	301	9	13	17	53	24	62	84	228	50	66	74	10	15	31	61	25	6	27	24	99	32	13	49	32	37	37	23	32	46	47	110	76	120	86	43	
66	60	106	84	31	52	35	58	53	67	132	70	33	31	67	40	27	87	82	30	24	112	75	49	45	62	53	61	65	65	40	36	28	80	106	48	98	59	58	
574	656	827	635	180	80	68	144	61	189	165	462	120	80	183	112	50	210	180	87	85	209	116	271	102	85	92	126	155	138	98	179	118	103	245	175	171	306	113	
5	8	16	6	4	0	0	3	0	4	0	4	0	0	0	0	1	3	0	1	0	0	0	4	2	0	2	1	0	5	2	1	2	0	5	1	0	6	1	
635	708	917	713	207	132	103	199	114	252	297	528	153	111	250	152	76	294	262	116	109	321	191	316	145	147	143	186	220	198	136	214	144	183	346	222	269	359	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	4	9	2	3	0	0	0	1	1	1	4	2	1	0	1	1	4	0	1	0	2	0	2	0	1	0	0	3	0	1	1	1	3	0	2	4	2	0	
69	79	100	84	17	7	4	19	2	25	10	43	2	3	28	10	3	19	14	6	5	18	15	10	5	7	4	3	8	8	14	13	13	4	23	10	7	32	3	
48	45	54	37	23	10	6	10	7	8	10	40	13	8	21	12	4	13	27	7	7	17	13	27	14	7	11	16	13	19	9	11	5	14	40	24	14	18	10	
499	556	732	580	163	114	92	167	103	215	270	435	135	96	198	128	67	257	215	101	95	280	158	273	123	131	125	167	193	168	111	188	122	160	277	182	241	301	157	
6	6	4	1	1	0	1	1	1	2	2	2	0	0	2	1	1	0	2	0	0	1	3	2	1	0	1	0	0	1	0	1	1	1	4	2	2	0	0	
3	5	13	5	0	1	0	1	0	0	2	3	0	2	1	0	0	1	3	0	2	2	2	1	0	1	2	0	1	0	1	0	1	1	0	1	1	5	0	
5	5	3	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	2	0	0	0	0	2	1	0	1	0	
2	8	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
