"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	
459	108	225	248	321	374	728	932	186	230	309	298	311	256	259	300	475	323	339	224	444	1113	846	840	990	536	171	1064	1072	487	1052	965	690	468	249	
400	110	200	220	300	320	630	800	160	190	280	260	270	230	230	270	430	290	310	200	380	950	730	750	900	470	150	950	950	430	900	850	600	400	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
230	49	139	79	189	184	315	568	86	94	152	86	134	142	78	142	207	153	142	115	215	634	537	501	553	298	71	560	567	187	604	632	378	265	69	
106	23	31	110	75	81	136	98	41	65	55	109	119	47	152	56	127	65	88	55	125	98	42	32	115	125	39	85	103	121	31	15	66	47	90	
64	38	30	31	36	55	179	134	33	31	73	65	17	41	0	72	96	72	80	30	40	218	151	217	232	47	40	305	280	122	265	203	156	88	61	
106	23	31	110	75	81	136	98	41	65	55	109	119	47	152	56	127	65	88	55	125	98	42	32	115	125	39	85	103	121	31	15	66	47	90	
230	49	139	79	189	184	315	568	86	94	152	86	134	142	78	142	207	153	142	115	215	634	537	501	553	298	71	560	567	187	604	632	378	265	69	
2	0	1	0	4	0	2	4	0	0	8	1	2	0	0	0	3	0	0	4	1	5	7	5	7	5	0	5	4	5	7	12	2	6	0	
334	72	169	189	260	265	449	662	127	159	199	194	251	189	230	198	331	218	230	166	339	727	572	528	661	418	110	640	666	303	628	635	442	306	159	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	2	2	3	6	0	0	2	0	0	0	1	0	1	1	0	0	1	7	7	3	3	2	0	0	4	0	4	7	1	3	4	
16	2	4	4	8	11	22	47	8	5	7	8	12	9	4	5	16	19	16	4	11	57	44	45	43	17	3	41	57	16	44	38	19	39	10	
12	4	7	8	16	15	22	27	6	7	5	6	17	7	8	9	23	15	10	8	22	46	33	26	36	27	6	36	38	17	41	33	22	19	3	
303	66	157	176	228	235	397	577	111	142	182	175	220	171	215	180	286	183	202	150	300	600	477	450	574	368	101	552	559	269	533	540	394	241	135	
2	0	1	1	1	0	1	0	1	3	1	1	1	0	0	2	1	0	1	3	2	7	3	1	2	2	0	3	4	0	3	5	4	0	4	
0	0	0	0	3	1	3	5	1	1	1	1	1	2	0	1	2	0	1	1	3	5	3	2	0	1	0	4	1	1	2	6	0	4	2	
0	0	0	0	2	1	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	2	3	1	1	1	0	1	2	0	1	3	0	0	0	
1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	3	2	0	2	0	0	3	1	0	0	3	2	0	1	
