"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	
768	442	295	290	223	97	180	210	288	437	229	283	214	1020	844	390	114	424	327	92	321	179	377	331	323	650	794	402	402	303	253	585	563	698	266	2026	1331	2302	1284	1327	1516	1115	77	
700	400	270	250	200	80	160	190	260	400	220	270	200	950	800	360	100	400	300	80	300	160	350	300	300	600	750	360	580	280	230	550	500	640	240	1870	1200	2150	1140	1240	1400	1030	77	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
400	229	120	128	102	50	107	150	156	215	136	146	113	476	425	168	37	228	88	48	176	102	195	171	123	351	394	200	352	134	141	227	245	241	135	1106	733	1081	572	655	767	627	3	
66	36	34	42	39	27	27	25	18	64	20	46	32	88	45	71	27	91	117	24	44	27	52	49	58	57	122	92	50	67	47	77	60	132	46	52	29	212	56	41	43	57	71	
234	135	116	80	59	3	26	15	86	121	64	78	55	386	330	121	36	81	95	8	80	31	103	80	119	192	234	68	178	79	42	246	195	267	59	712	438	857	512	544	590	346	3	
66	36	34	42	39	27	27	25	18	64	20	46	32	88	45	71	27	91	117	24	44	27	52	49	58	57	122	92	50	67	47	77	60	132	46	52	29	212	56	41	43	57	71	
400	229	120	128	102	50	107	150	156	215	136	146	113	476	425	168	37	228	88	48	176	102	195	171	123	351	394	200	352	134	141	227	241	241	135	1106	733	1081	572	655	767	627	3	
2	2	0	1	2	1	2	2	1	2	0	1	0	0	2	1	0	1	1	0	3	0	0	1	0	2	3	1	1	0	0	4	4	3	0	13	5	9	3	2	9	1	0	
464	263	154	169	139	76	132	173	173	277	156	191	145	564	468	238	64	318	204	72	217	129	247	219	181	406	513	291	401	201	188	300	297	370	181	1145	757	1284	625	694	801	683	74	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	0	0	0	2	0	1	0	0	1	1	3	2	2	0	2	1	0	0	1	0	1	1	4	0	2	3	2	2	0	1	1	0	5	3	6	7	2	6	1	0	
31	14	5	11	4	10	5	14	8	9	9	10	6	34	54	13	1	22	13	3	10	11	9	15	6	33	78	22	23	21	6	19	15	23	13	123	58	112	54	108	86	83	5	
33	14	7	8	7	3	3	10	6	5	15	11	1	34	18	10	1	22	4	4	14	13	5	16	13	21	25	15	9	14	8	19	12	25	11	64	42	69	46	39	43	33	8	
389	230	140	145	123	61	119	145	153	258	131	167	136	483	385	211	62	269	185	64	193	101	226	181	160	346	405	251	362	162	169	257	268	317	154	924	639	1070	505	530	653	553	59	
4	2	1	2	3	0	2	0	0	2	0	1	1	6	4	0	0	2	0	0	0	1	4	1	0	1	1	0	2	0	0	3	0	2	1	11	6	9	5	6	2	3	1	
4	3	0	1	2	2	1	3	3	2	1	1	0	0	2	0	0	0	1	0	0	1	2	5	1	0	2	1	1	0	0	1	1	2	2	7	6	8	4	6	2	2	1	
0	0	0	2	0	0	0	1	2	1	0	0	0	3	3	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	3	0	0	0	0	7	3	6	1	1	5	7	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	4	0	4	3	2	4	1	0	
