"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	
683	1000	822	1341	1080	1774	1262	1623	1865	1497	1205	577	112	149	1058	1103	1278	1070	247	70	167	91	1388	511	210	175	1169	338	222	211	77	218	62	212	60	
700	1000	700	1360	1100	1800	1360	1660	2000	1600	1260	560	110	130	1125	1150	1300	1100	225	65	170	90	1350	520	220	210	1200	335	210	240	80	240	60	225	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
342	565	439	732	598	1008	801	996	1157	853	530	273	60	71	529	541	780	497	66	40	91	63	681	291	117	95	628	187	57	73	33	93	25	80	45	
32	34	147	63	41	102	47	56	31	72	58	64	31	19	57	74	53	114	105	10	22	13	239	32	38	24	113	44	75	35	9	22	4	30	3	
326	401	114	565	461	690	512	608	812	675	672	223	19	40	539	535	467	489	54	15	57	14	430	197	65	91	459	104	78	132	38	125	31	115	17	
32	34	147	63	41	102	47	56	31	72	58	64	31	19	57	74	53	114	105	10	22	13	239	32	38	24	113	44	75	35	9	22	4	30	3	
342	565	439	732	598	1008	801	996	1157	853	530	273	60	71	529	541	780	497	66	40	91	63	681	291	117	95	628	187	57	73	33	93	25	80	45	
3	9	4	11	7	17	11	10	19	15	6	0	0	1	5	7	12	6	0	1	0	1	23	5	2	2	7	3	1	0	0	0	0	1	0	
371	590	582	784	632	1093	837	1042	1169	910	582	337	91	89	581	608	821	605	171	49	113	75	897	318	153	117	734	228	131	108	42	115	29	109	48	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	8	11	4	2	8	3	7	7	10	3	0	0	0	3	8	1	2	2	0	1	0	2	2	0	0	5	0	0	1	0	0	0	0	0	
31	45	45	76	43	95	65	86	113	86	44	18	16	6	35	49	55	52	4	5	4	8	33	27	10	5	55	16	14	14	1	9	3	4	2	
28	40	42	45	42	88	44	57	64	75	40	26	4	8	34	41	64	46	6	2	3	8	64	23	14	12	51	21	10	6	2	16	2	1	5	
295	472	449	628	513	845	697	840	942	695	482	281	67	71	490	479	673	491	155	41	105	59	775	249	126	97	599	189	102	87	39	87	24	100	41	
6	9	12	12	12	27	9	27	15	16	4	5	1	3	11	19	9	3	1	1	0	0	7	2	0	1	10	0	1	0	0	1	0	2	0	
3	4	8	6	6	9	4	8	8	8	2	4	2	1	3	2	8	9	1	0	0	0	5	3	1	1	5	1	2	0	0	1	0	0	0	
1	5	10	8	8	11	8	9	10	5	4	3	1	0	2	6	5	2	1	0	0	0	6	8	0	1	5	1	0	0	0	0	0	1	0	
3	7	5	5	6	10	7	8	10	15	3	0	0	0	3	4	6	0	1	0	0	0	5	4	2	0	4	0	2	0	0	1	0	1	0	
