"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	
1363	864	759	1606	1567	206	987	278	460	623	971	432	319	301	699	176	464	989	539	458	461	1302	312	370	565	293	429	292	397	405	556	872	206	1074	105	242	1571	1301	422	133	555	302	1139	304	266	
1300	860	780	1600	1600	210	1000	280	480	630	1010	440	320	310	710	180	460	1020	540	460	470	1300	320	380	570	300	430	300	410	400	560	880	200	1110	100	240	1600	1300	430	120	550	300	1170	310	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
934	669	677	1439	1278	132	721	247	381	519	697	335	229	237	620	140	404	852	460	362	377	1124	241	337	463	232	376	218	261	314	480	785	167	902	67	205	1480	1184	342	85	450	251	965	265	239	
333	177	78	86	133	72	119	30	78	98	272	94	87	64	62	35	50	121	71	92	73	146	65	30	100	40	43	50	135	86	74	87	33	159	33	33	44	79	76	35	92	45	153	39	22	
33	14	25	75	189	6	160	3	21	13	41	11	4	9	28	5	6	47	9	6	20	30	14	13	7	28	11	32	14	0	6	8	0	49	0	2	76	37	12	0	8	4	52	6	9	
333	177	78	86	133	72	119	30	78	98	272	94	87	64	62	35	50	121	71	92	73	146	65	30	100	40	43	50	135	86	74	87	33	159	33	33	44	79	76	35	92	45	153	39	22	
934	669	677	1439	1278	132	721	247	381	519	697	335	229	237	620	140	404	852	460	362	377	1124	241	337	463	232	376	218	261	314	480	785	167	902	67	205	1480	1184	342	85	450	251	965	265	239	
0	0	0	11	0	0	4	1	0	0	0	4	1	5	2	0	0	0	0	0	0	0	0	5	0	0	0	3	0	1	0	0	0	0	1	0	11	0	12	0	5	2	0	0	0	
1267	846	755	1514	1411	204	836	276	459	617	969	425	315	296	680	175	454	973	531	454	450	1270	306	362	563	272	419	265	396	399	554	872	200	1061	99	238	1513	1263	406	120	537	294	1118	304	261	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	0	3	2	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2	0	0	2	1	0	3	0	
89	22	45	23	140	13	80	7	2	1	4	0	0	0	1	1	1	4	2	2	5	9	1	1	4	4	14	9	2	4	4	3	0	9	1	1	19	46	22	1	9	5	21	23	10	
12	11	13	7	2	9	28	3	3	2	5	0	0	0	0	1	2	2	1	2	5	5	4	1	2	6	4	20	1	2	1	2	11	5	1	1	4	22	13	1	7	4	2	7	3	
1160	805	696	1480	1253	182	708	265	454	614	960	425	315	296	679	173	450	967	526	450	437	1252	301	360	557	262	399	232	393	393	549	867	185	1043	97	236	1473	1191	368	118	512	284	1095	270	248	
2	3	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	2	1	0	2	0	0	0	0	
1	3	1	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	4	0	0	0	0	1	1	0	0	2	0	2	0	2	0	0	0	0	
0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	
1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	
