"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	
1885	1568	742	974	1848	796	757	470	242	339	553	829	702	383	251	414	964	344	212	708	356	199	915	444	256	189	
1900	1600	700	1000	1900	800	800	500	260	350	600	900	750	400	260	450	1000	380	230	750	380	230	950	480	280	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1250	1048	492	649	1186	433	371	219	156	204	277	501	341	179	128	204	527	222	125	359	166	106	483	246	126	111	
65	72	87	93	92	171	138	112	29	49	76	91	145	121	29	78	142	45	24	140	97	33	165	71	51	8	
585	480	121	258	622	196	291	169	75	97	247	308	264	100	103	168	331	113	81	251	117	91	302	163	103	81	
64	72	87	93	92	171	138	112	29	49	76	91	145	121	29	78	142	45	24	140	97	33	165	71	51	8	
1250	1048	492	649	1186	433	371	219	156	204	277	501	341	179	128	204	527	222	125	359	166	106	483	246	126	111	
10	8	2	7	8	6	0	0	1	0	4	2	5	0	0	1	2	0	0	0	0	0	3	0	1	0	
1304	1112	577	735	1270	598	509	331	184	253	349	590	481	300	157	281	667	267	149	499	263	139	645	317	176	119	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	5	2	0	6	2	4	2	2	2	1	2	4	1	0	1	2	1	1	2	0	0	3	4	0	1	
233	226	106	64	194	101	87	52	11	49	63	65	65	43	31	81	77	15	9	71	40	13	68	40	15	14	
93	77	45	38	86	38	46	27	19	18	29	42	31	10	5	15	32	15	3	39	21	23	43	26	13	9	
944	780	411	615	966	453	363	243	149	181	246	464	377	242	118	180	552	234	135	381	197	101	521	243	148	93	
7	9	8	5	4	2	3	3	0	2	2	6	0	1	3	0	0	1	0	2	3	0	3	1	0	2	
11	6	2	3	5	0	6	3	3	0	3	4	1	3	0	3	2	0	0	2	0	2	3	1	0	0	
3	4	2	4	4	2	0	0	0	1	3	3	3	0	0	1	2	0	1	2	1	0	3	2	0	0	
6	5	1	6	5	0	0	1	0	0	2	4	0	0	0	0	0	1	0	0	1	0	1	0	0	0	
