"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	
2237	2338	2759	1615	1880	2527	2321	2563	2707	2691	2436	1548	2479	2137	2582	3302	2396	2156	1479	1930	1805	2128	1334	1453	1266	1023	1987	1457	1328	2576	1320	2485	1454	2999	1324	1305	1899	1670	1953	1935	1968	
1900	2100	2550	1450	1700	2300	2100	2300	2600	2500	2200	1300	2050	2050	2400	2900	2200	1850	1350	1750	1700	1800	1150	1200	1150	950	1900	1350	1150	2300	1250	2100	1300	2650	1150	1150	1700	1550	1850	1850	1850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1319	1333	1674	976	1107	1504	1380	1587	1885	1557	1511	884	1366	1286	1496	2258	1352	1175	899	1217	1240	1350	788	1042	934	600	1225	919	903	1528	766	1333	872	1755	964	863	1222	1121	1842	1238	1070	
172	100	68	55	68	30	105	119	103	182	82	309	388	88	172	144	106	277	111	72	63	143	57	57	94	92	80	86	53	52	52	156	114	321	46	47	40	42	6	78	91	
409	667	808	419	524	766	615	594	612	761	607	107	296	676	732	498	742	398	340	461	397	307	305	101	122	258	595	345	194	720	432	611	314	574	140	240	438	387	2	534	689	
172	100	68	55	68	30	105	119	103	182	82	309	388	88	172	144	106	277	111	72	63	143	57	57	94	92	80	86	53	52	52	156	114	321	46	47	40	42	6	78	91	
1319	1333	1673	975	1107	1504	1380	1587	1885	1557	1511	884	1365	1286	1496	2258	1351	1175	898	1217	1240	1350	787	1042	934	600	1225	919	902	1528	766	1333	872	1755	964	863	1221	1121	1842	1238	1070	
9	16	25	12	13	22	16	21	21	17	16	3	29	29	26	39	21	18	10	21	14	19	9	18	12	7	15	17	14	12	0	14	5	29	10	8	14	12	7	3	16	
1482	1417	1716	1018	1162	1512	1469	1685	1967	1722	1577	1190	1724	1345	1642	2363	1436	1434	999	1268	1289	1474	835	1081	1016	685	1290	988	941	1568	818	1475	981	2047	1000	902	1247	1151	1841	1313	1145	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	13	11	5	9	14	15	9	17	11	4	7	6	5	10	15	23	6	13	17	6	5	10	8	5	11	8	10	6	3	9	5	9	6	6	8	6	8	13	9	
136	195	193	117	117	169	173	155	138	162	159	57	180	135	134	320	160	120	115	151	169	197	91	148	113	81	159	121	105	158	66	180	74	202	107	116	136	145	173	121	119	
99	72	127	70	85	100	95	100	107	96	100	23	105	74	107	137	115	159	36	70	44	54	75	47	50	32	62	52	56	127	48	88	51	105	36	17	57	57	103	70	75	
1175	1080	1318	772	893	1186	1124	1346	1664	1391	1257	1086	1384	1091	1343	1799	1091	1054	797	983	1001	1134	632	790	816	550	1001	762	726	1222	681	1156	782	1650	798	738	1000	877	1518	1083	895	
26	25	23	17	25	22	25	26	21	24	18	8	23	16	24	40	20	49	19	25	25	36	16	40	15	12	15	20	15	20	10	13	23	34	19	2	11	22	13	13	19	
15	22	18	7	15	7	17	19	13	16	18	3	12	8	10	27	8	9	10	4	14	5	4	16	5	1	15	10	10	16	3	12	8	10	9	7	8	17	7	7	16	
9	10	13	10	13	7	8	14	9	6	9	5	5	8	8	14	16	6	6	8	7	17	5	12	2	2	10	6	11	6	3	9	15	16	14	8	9	15	7	3	6	
14	8	11	14	9	12	13	10	6	10	5	4	8	7	11	16	11	14	10	14	12	25	7	18	7	2	17	9	8	13	4	8	23	21	11	8	18	12	12	3	6	
