"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	
2060	2057	2371	1941	1949	2065	1930	1979	1734	2377	2193	2073	2499	2285	2220	827	2432	2753	2269	2346	2020	2800	1928	1428	2233	2563	2277	2167	1858	2534	2895	1229	2692	2510	
2000	1950	2250	1850	1850	2050	1800	1850	1700	2300	2000	1800	2400	2200	2050	824	2300	2650	2300	2300	1950	2400	1850	1400	2000	2300	2200	2100	1800	2450	2750	1150	2450	2450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1189	1290	1406	1436	1308	1264	1318	1103	1303	1399	1361	1241	1719	1484	1486	186	1818	1571	1354	1455	1190	1797	1183	853	1462	1462	1514	1623	1083	1568	1902	859	1684	1639	
67	101	129	68	58	75	50	14	69	64	97	74	71	69	63	549	36	59	61	61	47	24	96	40	60	88	86	80	98	129	39	22	51	42	
744	559	715	346	484	711	432	733	328	837	542	485	610	647	501	89	446	1020	885	784	713	579	571	507	478	750	600	397	619	753	809	269	715	769	
67	101	129	68	58	75	50	14	69	64	97	74	71	69	63	549	36	59	61	61	47	24	96	40	60	88	86	80	98	129	39	22	51	42	
1189	1290	1406	1436	1308	1264	1318	1103	1303	1399	1359	1241	1714	1484	1486	186	1818	1571	1354	1454	1190	1797	1183	853	1462	1462	1514	1610	1083	1568	1902	859	1683	1635	
28	23	11	32	16	20	20	16	11	14	21	10	22	4	23	6	18	19	20	25	24	27	14	0	23	28	11	17	14	4	30	8	27	16	
1228	1368	1524	1472	1350	1319	1348	1101	1361	1449	1435	1305	1763	1549	1526	729	1836	1611	1395	1490	1213	1794	1265	893	1499	1522	1589	1673	1167	1693	1911	873	1707	1661	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	8	7	7	8	5	7	5	4	9	9	6	11	13	12	4	14	9	6	8	9	10	6	9	7	10	4	10	12	11	11	3	8	12	
131	156	163	105	151	168	95	121	125	170	149	142	194	149	163	50	178	172	147	162	183	189	99	7	154	159	89	119	115	154	184	97	179	207	
93	101	110	81	96	88	109	95	160	108	109	79	110	65	94	42	99	106	95	108	87	160	128	28	117	130	101	105	73	132	129	53	111	125	
952	1066	1199	1198	1059	1014	1096	838	1033	1118	1116	1035	1384	1295	1220	611	1499	1256	1102	1174	852	1387	977	829	1171	1165	1373	1397	922	1323	1529	687	1342	1266	
12	11	14	13	16	17	11	18	13	16	18	12	25	9	13	9	20	19	23	13	48	25	19	8	16	23	5	11	18	5	18	11	33	17	
12	16	14	12	8	14	16	13	9	11	18	13	23	7	10	7	11	18	7	13	15	13	15	5	17	14	12	16	12	12	21	12	17	14	
7	3	6	27	4	8	7	8	6	9	10	10	8	6	5	5	6	18	6	6	9	6	16	4	7	14	2	9	4	15	5	5	7	11	
8	7	11	29	8	5	7	3	11	8	6	8	8	5	9	1	9	13	9	6	10	4	5	3	10	7	3	6	11	41	14	5	10	9	
