"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	
908	2206	1094	2158	651	267	271	460	1105	198	38	145	212	364	98	349	322	99	244	701	228	380	116	208	223	366	244	496	511	
930	2100	1030	2130	655	280	280	450	1100	190	39	160	200	375	95	350	330	105	250	720	225	390	120	210	240	390	230	510	475	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
765	1711	952	1773	580	225	250	391	899	176	34	134	185	338	82	315	286	89	215	626	188	349	103	185	182	310	228	412	439	
52	192	63	101	37	23	9	38	95	13	2	5	10	15	3	20	21	6	15	29	26	16	8	10	18	24	0	21	9	
113	197	15	256	38	32	21	21	106	1	3	21	5	22	10	15	23	10	20	65	11	25	9	15	40	56	2	77	27	
52	192	63	101	37	23	9	38	95	13	2	5	10	15	3	20	21	6	15	29	26	16	8	10	18	24	0	21	9	
765	1711	951	1773	580	225	250	391	899	176	34	134	185	338	82	315	286	89	215	626	188	349	103	185	182	310	228	412	439	
0	6	3	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	1	
817	1897	1011	1868	617	248	259	429	992	189	36	139	195	353	85	335	307	95	230	646	214	365	111	195	198	334	228	433	447	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	8	3	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	1	0	0	1	0	0	0	2	1	
20	70	27	69	17	6	5	11	18	3	0	3	5	8	1	6	5	4	9	17	6	8	5	3	26	3	5	10	11	
32	97	39	80	24	6	4	7	11	2	1	3	3	11	1	8	7	1	6	12	3	10	1	5	0	10	6	19	8	
752	1690	936	1712	568	231	248	408	955	183	35	131	185	331	83	317	294	90	213	603	204	347	104	181	172	321	217	394	424	
8	11	1	3	1	1	0	0	3	0	0	0	0	3	0	2	0	0	2	1	0	0	1	1	0	0	0	3	1	
1	9	1	1	3	4	1	1	3	1	0	2	2	0	0	1	0	0	0	5	0	0	0	1	0	0	0	1	2	
0	7	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	2	0	
3	5	2	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	
