"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №3611"	"УИК №3612"	"УИК №4002"	
2242	2752	2646	2668	2784	2854	3031	2319	3395	2494	3015	200	84	1165	
1700	2500	1900	2000	1800	2000	2500	2000	2500	2000	2500	300	130	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1250	1562	1415	1433	1449	1610	1612	1289	1858	1415	1665	127	82	1005	
48	51	55	60	71	60	66	38	70	35	49	48	0	0	
402	887	430	505	280	330	822	673	572	550	786	125	48	495	
48	51	55	60	71	60	66	38	70	35	49	48	0	0	
1249	1559	1413	1430	1445	1608	1607	1288	1854	1414	1662	127	82	1004	
30	31	25	19	29	28	14	16	24	17	28	1	2	13	
1267	1579	1443	1471	1487	1640	1659	1310	1900	1432	1683	174	80	991	
0	0	0	2	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	16	20	15	18	17	13	13	19	8	15	1	1	2	
168	228	207	198	245	255	188	188	266	182	237	28	13	106	
55	69	42	43	58	72	94	49	61	58	63	7	7	66	
842	1006	888	967	939	1061	1178	865	1228	987	1131	128	53	768	
93	139	134	105	92	102	76	85	175	86	108	2	1	21	
11	5	11	8	15	7	15	8	10	11	7	3	1	4	
29	23	38	44	27	40	25	24	44	28	27	1	2	11	
62	93	103	91	93	86	70	78	97	72	95	4	2	13	
