"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №3723"	"УИК №3724"	"УИК №3725"	"УИК №3726"	"УИК №3727"	
2665	1913	3182	2542	2640	1988	2517	2362	2436	2083	1833	2351	2195	2353	1939	2062	2359	2185	1707	1865	262	205	101	131	54	
1800	1250	2100	1900	1900	1500	1800	1800	1800	1600	1400	1800	1500	1800	1400	1500	1800	1700	1250	1300	500	500	300	300	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1600	1140	1926	1508	1460	1126	1567	1347	1472	1209	1147	1433	1358	1411	1280	1451	1561	1414	1097	1163	176	205	79	47	43	
76	25	34	53	56	11	28	22	19	35	32	26	22	28	16	18	17	11	25	44	86	0	21	79	0	
124	85	140	339	384	363	205	431	309	356	221	341	120	361	104	31	222	275	128	93	238	295	200	174	257	
76	25	34	53	56	11	28	22	19	35	32	26	22	28	16	18	17	11	25	44	86	0	21	79	0	
1599	1137	1926	1504	1460	1126	1567	1346	1472	1208	1136	1429	1358	1410	1280	1451	1561	1410	1097	1163	176	205	79	47	43	
23	23	30	17	23	17	29	21	10	24	18	13	10	13	22	24	30	9	17	15	6	2	0	3	0	
1652	1139	1930	1540	1493	1120	1566	1347	1481	1219	1150	1442	1370	1425	1274	1445	1548	1412	1105	1192	256	203	100	123	43	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	10	10	21	10	8	14	8	14	14	8	5	9	16	10	16	10	6	11	18	2	3	1	0	0	
282	186	320	255	205	149	222	176	252	170	139	190	199	194	177	216	254	241	157	186	12	16	14	12	8	
54	25	123	65	60	61	72	71	64	67	45	69	68	58	67	54	44	63	36	55	7	10	0	7	1	
1087	769	1300	1063	1074	825	1120	984	1020	871	878	1057	982	1068	946	1065	1111	985	819	840	223	156	76	93	28	
87	63	78	51	64	39	58	47	52	47	37	62	39	36	32	38	58	53	32	33	6	7	5	6	3	
17	3	19	7	8	14	5	10	13	10	9	3	11	10	14	16	6	12	2	12	1	1	1	0	0	
38	34	38	25	23	11	25	13	29	19	11	14	26	15	12	16	23	16	16	18	0	5	2	1	2	
69	49	42	53	49	13	50	38	37	21	23	42	36	28	16	24	42	36	32	30	5	5	1	4	1	
