"УИК №3283"	"УИК №3284"	"УИК №3285"	"УИК №3286"	"УИК №3287"	"УИК №3288"	"УИК №3289"	"УИК №3290"	"УИК №3291"	"УИК №3292"	"УИК №3293"	"УИК №3294"	"УИК №3295"	"УИК №3296"	"УИК №3297"	"УИК №3298"	
1226	1540	1324	1153	1142	2056	1305	1519	1352	1170	1254	1478	1296	1603	1285	1419	
1000	1300	1100	900	900	1500	1100	1200	1100	900	1000	1200	1200	1300	1000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
725	846	815	700	700	1299	682	922	807	734	734	824	795	998	724	853	
58	88	42	25	46	47	50	50	64	61	53	79	73	58	66	57	
217	366	243	175	154	154	368	228	229	105	213	297	332	244	210	90	
58	88	42	25	46	47	50	50	64	61	53	79	73	58	66	57	
725	846	815	700	698	1297	682	921	807	734	734	824	795	998	724	851	
9	7	12	9	10	12	8	14	16	13	5	8	10	20	11	16	
774	927	845	716	734	1332	724	957	855	782	782	895	858	1036	779	892	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	9	5	8	2	10	4	11	8	11	2	14	3	9	6	8	
58	80	92	66	65	152	78	87	73	86	84	104	93	116	80	112	
36	46	49	46	39	75	49	51	52	36	37	47	50	51	34	35	
611	726	647	544	561	1010	541	749	640	589	598	669	641	778	609	669	
18	25	23	23	39	35	17	24	34	18	20	27	26	27	16	23	
7	6	3	6	3	10	10	10	14	1	4	4	12	8	4	7	
12	12	14	9	11	19	8	10	15	13	14	10	6	18	10	9	
25	23	12	14	14	21	17	15	19	28	23	20	27	29	20	29	
