"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2371"	"УИК №2372"	"УИК №2373"	"УИК №2374"	"УИК №2375"	"УИК №2376"	"УИК №2377"	"УИК №2378"	"УИК №2379"	"УИК №2380"	"УИК №2381"	"УИК №2382"	"УИК №2383"	"УИК №2384"	"УИК №2385"	
1899	1881	1924	2200	1812	2138	1862	2067	1925	1960	2093	525	2326	2029	1844	2182	1924	1847	2120	1838	1949	1993	1667	1923	1904	1811	2006	1610	1892	2967	2055	2339	1992	1541	1154	2021	2675	1466	1512	2818	2239	626	158	546	
1500	1500	1600	1600	1900	2100	2000	2000	1500	1500	1600	800	1900	1600	1500	1600	1500	1500	2100	1500	1500	1500	1300	1500	1500	1500	1600	1300	1500	2300	2100	1800	1500	1500	1500	1500	2100	1200	1300	2200	1800	800	400	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1097	1095	1074	1160	1035	1211	1220	1010	1076	1079	1130	330	1267	1099	1033	1169	1091	1043	1230	1103	1176	1140	890	1178	1122	1097	1106	973	1151	1609	1284	1384	1153	879	1122	1152	1467	862	888	1603	1266	352	85	318	
62	52	76	54	27	58	60	68	34	45	58	13	44	52	41	45	50	42	48	44	22	56	36	29	53	37	27	36	46	69	34	49	49	18	32	34	30	37	49	33	50	223	60	215	
341	353	450	386	838	831	720	922	390	376	412	457	589	449	426	386	359	415	822	353	302	304	374	293	325	366	467	291	303	622	782	367	298	603	346	314	603	301	363	564	484	225	255	167	
62	52	76	54	27	58	49	68	34	45	58	13	44	52	41	45	50	42	48	44	22	56	35	29	53	37	27	36	46	69	34	49	49	18	32	34	30	37	49	33	50	223	60	215	
1096	1094	1074	1160	1035	1208	1170	1010	1075	1079	1130	330	1266	1099	1033	1168	1091	1043	1230	1103	1176	1140	890	1177	1122	1096	1105	972	1151	1606	1280	1380	1153	879	1122	1150	1467	861	884	1603	1262	352	85	318	
22	13	11	16	12	23	17	16	18	18	26	2	23	19	12	20	43	20	16	17	20	21	15	45	16	9	18	5	15	25	23	17	18	4	21	11	22	11	19	41	16	9	0	16	
1136	1133	1139	1198	1050	1243	1202	1062	1091	1106	1162	341	1287	1132	1062	1193	1098	1065	1262	1130	1178	1175	910	1161	1159	1124	1114	1003	1182	1650	1291	1412	1184	893	1133	1173	1475	887	914	1595	1296	566	145	517	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	15	15	21	10	19	18	9	12	12	15	1	13	7	14	14	10	7	12	12	13	7	14	11	14	12	12	14	6	13	16	27	12	5	8	8	8	10	9	10	16	6	1	5	
146	136	148	173	176	152	162	141	147	135	143	51	150	111	147	151	135	107	173	129	136	159	104	126	141	120	119	119	115	210	165	178	142	98	149	154	227	136	125	215	165	35	4	32	
34	48	48	44	35	48	36	42	36	53	47	17	77	64	31	48	52	49	57	61	58	57	46	66	57	30	29	58	64	45	35	83	47	21	39	50	51	26	39	52	40	14	1	26	
776	814	797	775	707	864	837	737	761	801	846	233	924	839	742	839	831	780	883	846	845	845	653	874	827	842	810	701	906	1190	925	962	839	643	803	817	974	616	607	1096	921	483	138	424	
63	58	56	73	42	58	69	53	59	48	52	16	50	53	50	60	34	49	48	32	50	51	40	27	47	45	63	47	35	90	77	75	55	61	58	59	76	42	55	110	68	8	0	7	
8	6	8	13	7	13	9	7	8	10	6	4	5	11	5	6	5	14	11	6	6	8	5	9	14	7	6	14	12	5	11	8	9	5	8	12	11	2	9	9	7	1	0	6	
23	18	24	34	20	23	16	21	17	17	11	2	19	15	20	20	8	21	29	11	20	20	16	23	15	19	31	15	11	27	15	24	23	24	17	23	33	13	24	47	30	5	0	8	
77	38	43	65	53	66	55	52	51	30	42	17	49	32	53	55	23	38	49	33	50	28	32	25	44	49	44	35	33	70	47	55	57	36	51	50	95	42	46	56	49	14	1	9	
