"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	"УИК №3136"	"УИК №3137"	"УИК №3138"	"УИК №3139"	"УИК №3780"	"УИК №3781"	"УИК №3782"	"УИК №3783"	"УИК №3784"	"УИК №3785"	"УИК №3786"	"УИК №3787"	"УИК №3788"	
2423	2012	2110	2585	2684	2188	2430	2201	1450	1062	2175	2215	2160	2384	2641	2080	2442	2206	1972	1812	1872	2100	1900	1566	2421	1924	2474	2703	2485	440	860	386	343	137	429	202	49	165	
1900	1700	1770	2200	2200	1800	2000	1706	1100	1000	1800	1700	1700	1900	2100	1700	2100	1700	1600	1400	1500	1700	1600	1300	1800	1500	2000	2200	2000	500	1200	550	600	250	600	250	100	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1427	1055	1107	1360	1482	1215	1381	1427	836	792	1214	1212	1229	1324	1490	1209	1408	1362	1113	1067	1066	1208	1080	881	1501	1173	1420	1506	1262	282	474	305	290	126	346	164	49	146	
48	47	58	41	63	56	55	30	32	3	34	57	59	36	83	38	47	44	50	34	22	25	40	34	39	26	55	101	55	111	350	53	53	6	57	24	0	19	
425	598	605	799	655	529	564	249	232	205	552	431	412	540	527	453	645	294	437	299	412	467	480	385	260	301	525	593	683	107	376	192	257	118	197	62	51	35	
48	47	58	41	63	56	55	30	32	3	34	57	59	36	83	38	45	44	50	34	22	25	40	34	39	26	55	101	55	111	350	53	53	6	57	24	0	19	
1424	1055	1106	1355	1479	1215	1379	1427	835	792	1214	1211	1225	1323	1488	1209	1408	1356	1110	1064	1063	1208	1080	881	1500	1169	1419	1505	1259	282	474	305	290	125	346	164	49	146	
21	8	19	10	21	13	20	25	11	11	22	24	12	11	23	23	24	14	17	12	15	12	9	8	12	15	15	21	14	5	11	1	2	2	5	1	2	0	
1451	1094	1145	1386	1521	1258	1414	1432	856	784	1226	1244	1272	1348	1548	1224	1429	1386	1143	1086	1070	1221	1111	907	1527	1180	1459	1585	1300	388	813	357	341	129	398	187	47	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	17	16	13	14	13	12	15	9	3	15	20	7	11	15	19	21	11	21	10	14	15	11	12	12	9	15	17	15	4	8	2	4	1	9	1	0	1	
176	136	124	180	204	150	170	160	132	107	163	134	155	164	201	132	164	165	145	129	129	139	147	129	160	159	169	203	154	65	92	35	36	20	46	27	2	11	
39	40	67	74	54	44	60	58	28	29	64	47	49	59	70	64	66	64	40	53	38	53	44	37	68	50	60	81	35	21	43	10	19	13	15	17	11	10	
999	770	783	971	1038	902	983	1015	584	560	822	808	908	916	1026	863	1005	974	776	697	747	861	735	604	1102	809	1035	1099	892	289	605	295	262	83	314	133	29	124	
105	54	65	71	100	69	79	88	44	48	76	91	68	93	92	66	70	73	54	81	53	68	64	51	84	67	74	64	79	2	33	6	12	5	5	5	1	12	
14	10	6	8	9	10	13	15	4	9	10	9	7	10	7	15	13	12	11	8	4	10	13	11	16	6	15	14	5	3	6	3	1	1	0	2	0	2	
32	22	21	19	27	14	29	25	17	11	26	36	24	26	47	22	21	30	18	23	21	19	21	14	24	20	26	27	41	0	6	3	2	1	4	0	4	3	
75	45	63	50	75	56	68	56	38	17	50	99	54	69	90	43	69	57	78	85	64	56	76	49	61	60	65	80	79	4	20	3	5	5	5	2	0	2	
