"УИК №3140"	"УИК №3141"	"УИК №3142"	"УИК №3143"	"УИК №3144"	"УИК №3145"	"УИК №3146"	"УИК №3147"	"УИК №3148"	"УИК №3149"	"УИК №3150"	"УИК №3151"	"УИК №3152"	"УИК №3153"	"УИК №3154"	"УИК №3155"	"УИК №3156"	"УИК №3157"	"УИК №3158"	"УИК №3159"	"УИК №3160"	"УИК №3161"	"УИК №3162"	"УИК №3163"	"УИК №3164"	"УИК №3165"	"УИК №3166"	"УИК №3167"	"УИК №3168"	"УИК №3169"	"УИК №3170"	"УИК №3171"	"УИК №3790"	
2098	1803	1782	1941	1795	1306	1935	2258	2467	2230	2313	2073	1509	1591	1408	1193	1635	2300	2240	2322	2338	2249	2635	1773	1736	2442	2252	2203	1796	1885	2219	2622	102	
1600	1500	1500	1600	1400	1000	1600	1700	2000	2000	2000	1700	1200	1200	1100	1000	1500	1800	1800	1800	2000	1800	2100	1700	1500	2000	2000	2000	1500	1500	1800	2100	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1148	1000	996	1123	1128	795	1071	1174	1385	1225	1220	1093	812	948	737	670	935	1169	1241	1357	1344	1205	1378	1128	953	1360	1315	1321	1028	1065	1333	1552	102	
30	49	48	52	45	24	39	60	71	96	55	57	21	22	33	27	37	34	34	40	47	74	104	43	55	34	36	42	36	45	24	31	0	
422	451	456	425	227	181	490	466	544	679	725	550	367	230	330	303	528	597	525	403	609	521	618	529	492	606	649	637	436	390	443	517	398	
30	49	48	52	45	24	39	60	71	59	55	34	21	22	33	27	37	34	34	40	47	74	104	43	55	34	36	42	36	45	24	31	0	
1139	1000	996	1121	1128	795	1071	1171	1385	1224	1220	1093	812	947	737	668	935	1169	1241	1356	1343	1204	1378	1127	953	1358	1312	1319	1028	1065	1331	1550	102	
10	13	11	16	7	7	15	15	18	17	11	11	18	12	4	9	8	11	10	16	9	49	15	19	5	17	9	14	8	12	10	10	0	
1159	1036	1033	1157	1166	812	1095	1216	1438	1266	1264	1116	815	957	766	686	964	1192	1265	1380	1381	1229	1467	1151	1003	1375	1339	1347	1056	1098	1345	1571	102	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	14	16	15	11	9	16	7	19	8	11	11	12	17	8	6	6	20	20	9	20	14	13	13	9	14	14	14	9	7	17	18	0	
131	124	104	161	128	114	125	120	186	147	128	128	108	123	102	86	122	144	116	148	138	139	145	165	99	134	149	151	117	121	174	215	9	
58	80	49	62	48	35	48	73	70	70	70	62	44	62	38	46	54	55	60	64	63	54	63	56	53	74	73	60	60	38	79	77	2	
846	720	748	802	873	588	824	904	1029	917	936	804	573	659	571	494	690	864	932	1047	1031	884	1114	833	771	1044	982	979	785	799	967	1115	89	
48	36	48	49	37	21	37	45	52	47	46	39	38	40	17	28	37	38	68	44	56	47	54	34	23	35	57	62	32	47	41	55	1	
7	15	9	8	9	10	8	10	11	13	8	10	5	11	2	3	8	3	5	11	8	10	15	13	5	5	8	8	12	8	8	11	1	
19	9	17	24	18	18	11	10	19	18	16	20	16	24	12	5	10	15	23	22	19	30	31	12	14	29	18	25	14	33	22	22	0	
37	38	42	36	42	17	26	47	52	46	49	42	19	21	16	18	37	53	41	35	46	51	32	25	29	40	38	48	27	45	37	58	0	
