"УИК №2684"	"УИК №2685"	"УИК №2686"	"УИК №2687"	"УИК №2688"	"УИК №2689"	"УИК №2690"	"УИК №2691"	"УИК №2692"	"УИК №2693"	"УИК №2694"	"УИК №2695"	"УИК №2696"	"УИК №2697"	"УИК №2698"	"УИК №2699"	"УИК №2700"	"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	"УИК №2720"	"УИК №2721"	
1867	2595	2168	1128	1904	1626	584	2596	2986	1495	2816	2365	1594	1848	1298	1310	501	712	744	368	1414	893	537	1240	1089	1493	1185	430	1523	2768	893	1066	1685	1240	984	740	1406	1530	
1700	2100	2000	1100	1800	1500	600	2300	2500	1400	2700	2100	1600	1800	1200	1300	400	600	700	400	1300	850	400	1200	1000	1400	1000	350	1200	2300	800	900	1400	1100	900	700	1300	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1173	1660	1382	639	1140	987	326	1398	1527	794	1624	1369	800	947	746	729	231	410	444	201	723	476	310	593	568	797	666	256	807	1531	464	718	991	644	512	419	650	898	
37	28	20	30	21	21	12	154	41	11	15	32	22	25	27	76	32	24	31	120	95	101	52	86	52	12	20	45	236	64	27	41	22	56	46	27	65	25	
490	412	598	431	639	492	262	748	932	595	1061	699	778	828	427	495	137	166	225	79	482	273	38	521	380	591	314	49	157	705	309	141	387	400	342	254	585	577	
37	28	20	30	21	21	12	154	41	11	15	32	22	25	27	76	32	24	31	120	95	101	52	86	52	12	20	45	236	64	27	41	22	56	46	27	65	25	
1173	1660	1382	639	1140	987	326	1398	1527	794	1623	1369	800	947	746	729	231	410	444	201	723	476	310	593	568	797	666	256	807	1531	464	718	991	644	512	419	650	898	
11	14	13	7	7	17	2	20	20	10	21	19	13	8	8	11	4	9	11	4	7	12	4	6	6	6	3	3	12	22	2	5	12	7	4	3	4	11	
1199	1674	1389	662	1154	991	336	1532	1548	795	1617	1382	809	964	765	794	259	425	464	317	811	565	358	673	614	803	683	298	1031	1573	489	754	1001	693	554	443	711	912	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	12	13	5	10	5	2	12	13	6	11	8	5	5	1	4	0	4	3	4	6	1	0	3	7	4	7	0	9	9	1	1	10	3	5	1	3	4	
223	268	252	123	188	196	64	291	281	164	267	224	188	198	96	152	50	56	62	26	160	100	44	91	110	118	88	24	155	216	86	126	132	146	88	100	74	126	
106	117	129	69	90	72	23	92	89	41	104	89	54	47	59	63	27	36	30	35	62	45	24	49	35	42	37	17	99	107	38	43	67	59	42	45	56	70	
811	1219	950	443	811	686	231	1070	1095	548	1178	1002	532	677	592	552	179	321	361	235	568	405	278	499	446	621	527	249	736	1174	348	564	766	472	403	290	562	685	
15	27	22	9	31	12	4	23	23	16	20	22	9	18	9	9	2	0	3	7	4	3	3	9	10	10	8	2	8	32	4	6	10	7	5	2	5	11	
9	10	4	5	9	10	5	13	11	4	7	15	4	6	2	5	1	1	2	2	6	2	4	5	0	1	4	2	9	18	4	5	0	0	8	1	3	6	
16	10	13	4	8	0	4	7	14	4	9	11	10	6	1	6	0	2	1	1	4	3	3	6	5	4	8	2	5	6	6	6	8	3	2	2	2	7	
14	11	6	4	7	10	3	24	22	12	21	11	7	7	5	3	0	5	2	7	1	6	2	11	1	3	4	2	10	11	2	3	8	3	1	2	6	3	
