"УИК №3086"	"УИК №3087"	"УИК №3088"	"УИК №3089"	"УИК №3090"	"УИК №3091"	"УИК №3092"	"УИК №3093"	"УИК №3094"	"УИК №3095"	"УИК №3096"	"УИК №3097"	"УИК №3098"	"УИК №3099"	"УИК №3100"	"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	
1926	1966	2130	1595	798	1510	720	809	866	2132	2174	1365	1080	1330	1974	2044	1783	216	1169	1704	573	1012	664	951	684	416	376	993	882	552	449	337	
1900	1900	2100	1500	700	1200	700	800	800	2100	2100	1300	1000	1300	1900	2000	1800	200	1100	1700	500	900	500	900	600	400	400	900	900	500	400	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1143	1116	1165	842	378	857	541	625	593	1114	1092	716	585	695	1007	1160	942	125	655	918	317	600	333	450	306	219	197	684	564	312	269	124	
37	34	46	31	17	124	19	20	63	56	52	42	25	22	23	34	37	7	21	57	22	128	80	118	111	50	40	105	136	23	39	74	
720	750	889	627	305	219	140	155	144	930	956	542	390	583	870	806	821	68	424	725	161	172	87	332	183	131	163	111	200	165	92	102	
37	34	46	31	17	124	19	20	63	56	52	42	25	22	23	34	37	7	21	57	22	128	80	118	111	50	40	105	136	23	39	74	
1143	1116	1165	842	378	856	541	625	593	1114	1092	716	585	695	1007	1160	942	125	655	918	317	600	333	450	306	219	197	684	564	312	269	124	
13	14	17	7	4	7	12	8	6	8	13	8	14	6	12	14	12	1	11	14	3	8	4	8	3	2	0	4	0	7	1	3	
1167	1136	1194	866	391	973	548	637	650	1162	1131	750	596	711	1018	1180	967	131	665	961	336	720	409	560	414	267	237	785	700	328	307	195	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	9	5	1	2	12	4	4	4	6	11	4	1	4	6	17	10	2	5	8	2	1	3	1	5	2	2	8	3	3	2	1	
161	166	190	124	65	137	66	56	90	143	124	139	97	103	164	151	150	18	94	104	61	81	39	91	24	37	29	73	45	32	47	25	
74	71	71	55	23	59	20	29	37	72	84	44	39	36	66	51	60	3	39	60	22	46	17	41	21	10	15	40	54	22	18	5	
875	861	894	651	288	730	444	537	506	910	863	543	444	536	749	915	704	101	507	754	243	570	338	412	354	213	184	639	584	258	232	156	
19	11	12	15	4	13	6	5	5	14	16	6	8	10	14	21	13	2	3	12	2	5	3	8	6	1	3	10	6	7	3	4	
10	2	10	2	2	2	2	1	2	6	14	6	4	3	9	9	6	2	10	6	4	4	1	6	0	1	2	7	4	2	3	0	
5	9	7	8	1	11	5	1	3	4	7	3	2	7	6	4	12	2	3	10	1	11	5	0	3	3	1	5	2	3	2	0	
10	7	5	10	6	9	1	4	3	7	12	5	1	12	4	12	12	1	4	7	1	2	3	1	1	0	1	3	2	1	0	4	
