"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	
887	1545	1182	994	1340	352	1258	1305	1373	312	404	243	869	179	284	648	138	415	415	1028	
800	1500	1100	1000	1300	350	1100	1200	1300	310	400	250	850	180	280	650	130	400	400	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
503	965	705	558	881	208	732	596	646	175	232	120	714	125	159	307	71	226	250	450	
104	62	131	72	56	16	115	149	336	38	103	61	20	11	70	158	13	110	64	160	
193	473	264	370	363	126	253	455	318	97	65	69	116	44	51	185	46	64	86	390	
104	62	131	72	56	16	115	149	336	38	103	61	20	11	70	158	13	110	64	160	
503	965	705	558	881	208	732	596	646	175	232	120	714	125	159	307	71	226	250	449	
2	6	7	2	7	0	7	3	10	3	0	1	14	6	1	2	0	1	0	4	
605	1021	829	628	930	224	840	742	972	210	335	180	720	130	228	463	84	335	314	605	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	6	2	10	2	7	4	4	0	2	0	6	1	2	2	0	1	2	3	
65	127	100	66	120	22	79	59	69	12	18	16	81	18	16	42	9	36	8	53	
71	108	85	64	106	19	106	101	108	19	37	22	105	14	25	50	8	25	21	55	
451	756	623	479	665	177	623	559	774	164	273	138	506	94	180	352	66	269	275	485	
2	5	4	7	10	1	9	3	10	5	3	0	8	1	1	2	0	0	4	2	
2	5	6	6	6	1	5	5	2	6	1	4	7	1	4	10	1	1	2	4	
7	7	3	3	12	1	6	6	2	0	0	0	5	1	0	2	0	0	1	2	
4	4	2	1	1	1	5	5	3	4	1	0	2	0	0	3	0	3	1	1	
