"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №2028"	
2676	2628	2213	2331	2456	2757	2875	2059	2211	2092	2153	2030	2117	2167	2045	2410	2471	1400	2020	2099	1631	378	
2550	2550	2110	2300	2250	2500	2350	1950	2000	2000	2000	2000	1950	2010	1950	2250	2350	1300	1900	2000	1550	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1733	1684	1331	1527	1429	1738	1964	1290	1404	1254	1268	1120	1245	1331	1099	1516	1509	775	1134	1169	910	315	
37	12	39	27	38	20	26	36	39	48	54	49	34	31	50	35	22	23	82	21	37	60	
780	854	740	746	783	742	360	624	557	698	678	831	671	648	801	699	819	502	684	810	603	325	
37	12	39	27	38	20	26	36	39	48	54	49	34	31	50	35	22	23	82	21	37	60	
1732	1683	1331	1527	1429	1738	1963	1290	1403	1254	1268	1120	1245	1330	1099	1516	1509	775	1134	1168	910	315	
17	19	12	13	17	18	14	22	11	8	13	19	15	9	12	13	24	9	9	10	7	8	
1752	1676	1358	1541	1450	1740	1975	1304	1431	1294	1309	1150	1264	1352	1137	1538	1507	789	1207	1179	940	367	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	21	5	19	14	13	14	18	9	16	12	16	14	16	5	12	14	11	11	5	5	4	
293	278	209	300	243	306	385	235	255	194	227	196	240	255	167	277	263	113	183	224	168	64	
77	72	45	54	40	71	100	45	43	65	44	49	46	40	47	37	57	40	69	69	51	34	
1223	1147	1011	1031	1041	1224	1348	901	1010	915	919	798	796	915	826	1038	1029	555	875	820	667	250	
58	68	30	45	36	54	60	47	52	39	46	37	63	65	31	83	54	26	23	19	16	4	
8	13	7	12	14	10	13	5	9	7	11	4	5	4	8	6	8	10	6	12	10	3	
22	27	15	22	21	12	14	12	15	18	14	14	30	24	18	29	28	10	13	9	10	2	
56	50	36	58	41	50	41	41	38	40	36	36	70	33	35	56	54	24	27	21	13	6	
