"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
1234	1053	1547	1319	182	413	658	173	145	764	135	120	468	873	820	241	477	462	775	213	253	255	307	200	261	418	1133	309	219	174	407	77	804	540	292	
1100	1000	1500	1300	175	395	660	160	155	760	135	120	460	880	820	240	470	465	770	210	245	230	300	205	265	420	1100	295	210	165	405	80	800	560	295	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
743	629	1037	781	99	271	456	103	96	457	91	76	325	514	449	140	335	271	498	143	173	194	196	145	170	269	662	198	152	127	247	61	490	345	191	
49	42	33	62	10	16	9	13	18	19	1	10	13	24	31	5	22	19	32	6	7	3	14	1	13	6	26	3	4	5	9	0	40	23	2	
308	329	430	457	66	108	195	44	41	284	43	34	122	342	340	95	113	175	240	61	65	33	90	59	82	145	412	94	54	33	149	19	270	192	102	
49	42	33	62	10	16	9	13	18	19	1	10	13	24	31	5	22	19	32	6	7	3	14	1	13	6	26	3	4	5	9	0	40	23	2	
743	629	1037	781	99	271	456	103	96	457	91	76	325	514	449	140	335	271	498	143	173	194	196	145	170	269	662	198	152	127	247	61	490	345	191	
7	9	17	4	2	6	10	2	1	5	1	0	4	7	9	0	7	2	13	1	1	0	6	2	3	6	9	3	0	1	4	0	8	2	5	
785	662	1053	839	107	281	455	114	113	471	91	86	334	531	471	145	350	288	517	148	179	197	204	144	180	269	679	198	156	131	252	61	522	366	188	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	4	12	12	0	4	8	0	0	0	3	0	2	3	2	4	2	4	2	2	0	1	1	0	1	0	4	5	1	0	6	0	6	4	1	
181	166	223	214	15	47	60	5	8	48	14	5	50	118	111	18	43	52	101	27	10	37	35	27	17	26	112	40	28	27	45	6	67	43	20	
39	41	34	38	4	25	25	5	13	19	9	4	14	37	39	4	18	14	22	5	15	12	12	6	5	17	63	7	21	9	18	7	25	24	6	
535	435	758	560	88	200	360	103	91	398	64	77	261	354	315	117	278	214	386	112	153	144	154	110	154	222	473	143	100	93	176	48	413	292	159	
7	5	13	5	0	3	1	0	1	5	0	0	0	8	1	1	5	0	1	0	1	0	1	0	2	1	12	1	1	1	1	0	6	1	2	
5	8	2	2	0	0	0	1	0	0	1	0	5	3	0	0	0	3	3	1	0	1	1	0	1	1	5	2	2	1	4	0	2	1	0	
3	1	5	3	0	2	1	0	0	1	0	0	0	4	2	1	3	0	1	1	0	0	0	0	0	1	6	0	0	0	2	0	0	1	0	
6	2	6	5	0	0	0	0	0	0	0	0	2	4	1	0	1	1	1	0	0	2	0	1	0	1	4	0	3	0	0	0	3	0	0	
