"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	
909	181	73	175	239	655	219	116	198	96	521	98	297	207	153	68	184	982	132	156	221	624	45	140	174	75	808	256	1033	82	234	116	101	1612	1698	2447	800	213	101	105	
940	175	90	180	250	670	225	115	200	90	545	100	305	215	165	65	190	1020	120	150	225	650	50	150	170	80	840	265	1050	85	240	140	115	1705	1785	2520	820	230	105	115	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
562	80	26	94	118	456	140	81	154	57	308	61	189	137	81	49	116	583	89	120	161	396	32	95	117	51	490	117	586	60	134	81	56	1016	1087	1508	444	117	75	68	
31	7	0	8	12	27	15	3	7	9	23	2	8	7	10	1	12	57	5	6	13	31	5	2	17	0	28	22	54	1	13	4	5	70	94	164	51	11	1	1	
347	88	64	78	120	187	70	31	39	24	214	37	108	71	74	15	62	380	26	24	51	223	13	53	36	29	322	126	410	24	93	55	54	619	604	848	325	102	29	46	
31	7	0	8	12	27	15	3	7	9	23	2	8	7	10	1	12	57	5	6	13	31	5	2	17	0	28	22	54	1	13	4	5	70	94	164	51	11	1	1	
562	80	26	94	118	456	140	81	154	57	308	61	189	137	81	49	116	583	89	120	161	396	32	95	117	51	490	117	586	60	134	81	56	1016	1087	1508	444	117	75	68	
4	0	0	1	2	6	1	0	1	0	0	0	2	0	0	0	0	7	0	0	1	8	0	0	0	0	2	3	9	0	2	2	0	17	18	22	7	1	0	0	
589	87	26	101	128	477	154	84	160	66	331	63	195	144	91	50	128	633	94	126	173	419	37	97	134	51	516	136	631	61	145	83	61	1069	1163	1650	488	127	76	69	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	3	1	9	0	1	0	2	4	0	0	2	0	0	1	3	0	1	1	2	0	0	0	0	6	3	5	0	0	0	2	5	8	19	7	1	3	0	
84	17	3	18	21	104	19	10	5	13	67	6	17	11	11	3	11	112	7	3	15	82	1	13	15	2	89	10	80	10	14	13	2	190	272	326	64	18	4	14	
41	11	2	7	9	29	21	11	11	13	28	9	29	20	14	14	11	73	11	16	20	27	9	7	8	2	23	13	65	6	13	9	6	97	108	142	35	13	9	5	
451	58	21	66	91	324	114	58	144	37	226	45	148	107	61	32	103	434	75	104	133	304	26	77	106	45	387	105	473	40	117	57	49	750	749	1119	373	95	59	49	
3	0	0	1	3	4	0	0	0	0	2	1	0	0	0	1	0	4	0	1	3	2	0	0	0	1	4	3	2	2	1	1	2	9	11	15	2	0	0	1	
2	1	0	3	3	2	0	1	0	0	2	2	1	1	5	0	2	5	0	0	0	1	1	0	5	1	4	1	3	1	0	3	0	9	8	13	6	0	0	0	
5	0	0	3	0	3	0	0	0	1	2	0	0	3	0	0	0	2	0	1	1	1	0	0	0	0	2	0	3	0	0	0	0	4	3	9	1	0	1	0	
2	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	5	4	7	0	0	0	0	
