"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №147"	"УИК №148"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №748"	
1000	906	1594	889	768	1803	423	1851	1227	1660	1682	1754	1727	1411	1515	1615	1782	1623	1561	1699	1614	284	1768	1814	1770	1890	234	
950	850	1600	800	700	1800	400	1900	1200	1650	1700	1800	1700	1400	1500	1600	1800	1600	1600	1700	1600	250	1800	1800	1800	1900	236	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
571	559	988	545	484	1085	283	1159	783	1092	1072	1132	1086	890	926	992	1185	1117	1044	1192	1097	199	1032	1189	1221	1198	98	
82	50	92	85	54	88	21	95	45	72	79	97	71	90	108	72	37	80	53	47	38	3	76	70	86	110	131	
297	241	520	170	162	627	96	646	372	486	549	571	543	420	466	536	578	403	503	461	465	48	692	541	493	592	7	
82	50	92	85	54	88	21	95	45	72	79	97	71	90	108	72	37	80	53	47	38	3	76	70	86	110	131	
571	559	988	545	484	1085	283	1159	783	1092	1072	1132	1085	890	926	992	1185	1117	1044	1192	1097	199	1032	1189	1221	1198	98	
7	5	8	14	5	9	2	20	9	14	14	11	15	12	6	13	9	18	10	19	14	4	21	14	15	18	2	
646	604	1072	616	533	1164	302	1234	819	1150	1137	1218	1141	968	1028	1051	1213	1179	1087	1220	1121	198	1087	1245	1292	1290	227	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	9	2	5	9	3	7	9	6	11	7	3	9	5	12	13	10	5	3	10	3	8	9	6	11	1	
102	83	153	90	67	202	51	208	119	191	188	250	179	182	156	194	184	172	178	211	222	45	194	174	234	181	31	
34	28	69	53	36	68	15	91	64	61	81	73	90	65	82	66	88	81	79	77	58	8	62	82	89	89	16	
494	474	812	460	414	863	224	893	606	853	828	858	845	697	760	754	897	877	801	890	786	131	800	939	929	973	176	
3	4	8	3	4	10	2	16	10	20	15	12	11	5	7	9	13	14	12	15	15	4	6	11	15	14	0	
4	4	10	6	6	4	2	5	3	5	5	9	5	1	9	8	7	9	4	12	7	5	6	11	9	10	1	
4	4	6	1	1	4	2	8	7	7	2	4	6	7	7	4	5	8	4	9	6	2	7	6	5	5	1	
1	2	5	1	0	4	3	6	1	7	7	5	2	2	2	4	6	8	4	3	17	0	4	13	5	7	1	
