"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	
1596	2099	2016	2064	146	660	407	1994	1244	1003	27	915	926	55	30	36	542	419	852	125	154	185	628	674	625	523	
1593	2036	2142	2183	159	677	430	2092	1313	1095	54	940	1038	78	30	30	569	490	966	121	151	193	762	695	698	565	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
997	1184	1277	1409	124	367	223	1088	806	664	24	633	619	41	23	30	320	285	546	80	91	110	427	409	390	381	
128	124	133	78	12	70	14	163	102	54	1	71	95	5	0	0	60	56	144	6	20	40	60	30	64	41	
468	728	732	696	23	240	193	841	405	377	29	236	324	32	7	0	189	149	276	35	40	43	275	256	244	143	
128	124	133	78	12	70	14	163	102	54	1	71	95	5	0	0	60	56	144	6	20	40	60	30	64	41	
997	1184	1277	1408	124	367	223	1088	806	664	24	633	619	41	23	30	320	285	546	80	91	110	427	409	390	381	
5	10	22	9	1	2	1	11	7	8	0	6	11	2	0	0	5	3	8	1	1	0	4	5	3	7	
1120	1298	1388	1477	135	435	236	1240	901	710	25	698	703	44	23	30	375	338	682	85	110	150	483	434	451	415	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	13	8	8	2	3	2	6	4	7	1	5	8	0	0	0	2	0	2	2	1	1	3	1	1	4	
204	260	269	337	11	44	32	239	127	152	4	80	121	3	1	3	42	31	100	11	12	20	90	37	40	49	
100	119	98	115	15	44	17	64	54	30	1	18	73	2	1	5	48	31	93	6	13	23	23	56	37	36	
795	888	983	992	105	334	183	913	702	516	18	571	491	39	21	22	276	275	474	61	83	106	355	332	367	318	
3	10	13	11	1	2	1	7	6	2	0	8	4	0	0	0	3	0	3	2	0	0	3	2	3	2	
3	0	7	4	1	3	0	7	5	3	1	8	3	0	0	0	2	1	8	0	0	0	4	1	1	2	
2	7	8	6	0	2	1	1	1	0	0	4	2	0	0	0	1	0	0	2	1	0	4	3	1	3	
8	1	2	4	0	3	0	3	2	0	0	4	1	0	0	0	1	0	2	1	0	0	1	2	1	1	
