"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	
2299	2008	1704	1095	1259	1184	946	1210	1139	1148	1345	1661	1522	1332	1740	2122	2161	2040	2420	1892	1207	1650	1493	1433	1313	1803	1403	1591	1706	1803	1410	2129	435	
2400	2100	1800	1100	1600	1200	1000	1400	1100	1100	1300	1600	1500	1300	1800	2200	2100	2000	2500	1900	1300	1800	1600	1500	1300	1900	1700	1700	1800	1900	1500	2200	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1303	1007	853	618	795	681	589	722	604	675	697	959	754	736	931	1276	1225	1150	1473	1078	743	987	871	882	575	987	847	719	857	846	733	994	264	
61	75	84	35	36	34	32	57	52	46	131	48	48	40	49	110	99	51	37	62	73	60	31	46	59	32	105	88	55	70	33	66	46	
1036	1018	863	447	769	485	379	621	444	379	472	593	698	524	820	814	776	799	990	760	484	753	698	572	666	881	748	893	888	984	734	1140	90	
61	39	84	35	36	34	32	57	52	46	131	48	48	40	48	110	99	51	37	62	73	60	31	46	59	32	104	88	55	70	33	66	46	
1303	925	853	618	795	681	589	721	604	675	697	959	754	736	931	1276	1225	1150	1473	1078	743	987	871	882	575	987	847	719	857	846	733	994	264	
17	14	10	5	11	5	9	13	5	7	5	8	12	8	15	20	23	17	16	15	4	9	9	5	3	13	17	7	10	5	8	12	6	
1347	950	927	648	820	710	612	765	651	714	823	999	790	768	964	1366	1301	1184	1494	1125	812	1038	893	923	631	1006	934	800	902	911	758	1048	304	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	5	6	6	4	4	6	8	5	4	4	7	9	8	9	12	10	7	5	11	9	15	8	12	5	4	3	11	3	7	6	8	1	
214	144	145	127	159	123	115	132	122	108	135	173	141	140	165	214	229	201	250	231	130	172	181	136	92	185	171	152	139	172	141	182	49	
67	52	73	45	43	28	23	47	36	46	41	61	41	41	48	76	86	59	87	71	34	63	50	57	50	66	66	67	67	81	52	82	9	
1001	710	676	446	587	524	432	551	458	532	613	718	581	544	700	1019	926	874	1101	781	598	756	617	691	464	721	662	551	674	628	542	755	244	
19	13	12	10	8	8	12	10	10	8	14	20	4	10	11	17	19	20	14	16	18	12	13	8	11	13	12	9	3	7	8	5	1	
12	14	5	5	6	5	4	10	7	6	5	10	2	9	7	9	8	11	11	5	3	7	7	9	3	6	9	5	13	10	4	10	0	
14	8	6	4	3	10	13	4	7	3	6	6	6	8	14	6	7	7	9	7	11	7	7	8	5	8	9	1	3	3	4	4	0	
9	4	4	5	10	8	7	3	6	7	5	4	6	8	10	13	16	5	17	3	9	6	10	2	1	3	2	4	0	3	1	2	0	
