"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	
167	381	291	133	456	162	186	709	663	641	625	415	68	60	594	198	107	187	748	131	493	186	951	131	159	64	807	175	183	135	802	88	230	133	486	1040	694	747	1088	689	1116	1094	1175	1294	204	
170	410	385	155	465	160	190	745	690	660	640	430	70	47	610	210	105	195	745	130	515	195	970	135	160	70	870	190	190	145	845	90	230	135	460	1060	710	760	1120	675	1130	1130	1230	1340	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	191	235	85	233	71	123	375	353	447	353	238	42	31	340	115	62	106	396	64	279	94	498	81	97	42	450	94	88	70	463	62	122	88	264	674	365	449	626	377	640	584	653	821	111	
7	24	30	10	23	13	7	35	29	32	42	18	5	4	18	0	8	7	50	7	31	17	37	2	6	2	25	7	8	4	24	0	10	4	17	64	24	10	29	42	44	22	39	6	18	
70	195	120	60	209	76	60	335	308	181	245	174	23	12	252	95	35	82	299	59	205	84	435	52	57	26	395	89	94	71	358	28	98	43	179	322	321	301	465	256	446	524	538	513	81	
7	24	30	10	23	13	7	35	29	32	42	18	5	4	18	0	8	7	50	7	31	17	37	2	6	2	25	7	8	4	24	0	10	4	17	64	24	10	29	42	44	22	39	6	18	
93	191	235	85	233	71	123	375	353	447	353	238	42	31	340	115	62	106	396	64	279	94	498	81	97	42	450	94	88	70	463	62	122	88	264	674	365	448	626	377	640	584	653	821	111	
1	5	0	0	2	0	1	4	3	0	5	3	0	0	0	1	0	1	4	1	10	0	5	0	0	0	5	4	1	0	9	0	2	0	0	10	6	5	10	9	10	7	17	9	0	
99	210	265	95	254	84	129	406	379	479	390	253	47	35	358	114	70	112	442	70	300	111	530	83	103	44	470	97	95	74	478	62	130	92	281	728	383	453	645	410	674	599	675	818	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	0	1	1	3	2	4	0	1	0	0	0	2	0	0	0	1	0	2	1	4	1	1	0	1	1	0	2	1	0	0	0	2	1	2	0	3	3	4	2	3	2	2	
11	10	24	9	42	15	12	39	49	73	35	44	5	1	49	29	5	19	38	4	17	14	46	6	5	8	68	11	6	5	67	5	7	3	28	74	75	72	97	67	100	88	97	142	9	
9	20	19	4	15	10	13	27	38	17	25	18	3	3	20	3	3	11	22	9	22	10	54	12	6	4	37	9	4	8	35	8	7	7	14	41	32	44	51	30	45	49	45	73	11	
78	175	212	81	184	55	98	327	281	384	319	181	37	31	282	80	62	79	367	55	254	84	419	63	88	31	353	73	83	58	364	45	111	80	232	595	262	327	483	308	504	450	514	567	104	
0	2	2	0	2	0	0	1	2	3	1	0	0	0	1	2	0	1	3	1	2	2	3	0	0	0	2	0	0	0	6	1	3	1	2	6	4	3	3	1	2	2	9	11	2	
0	2	4	0	6	3	2	4	3	2	5	6	1	0	2	0	0	1	5	0	1	0	2	1	0	0	5	3	2	0	3	2	1	0	2	9	3	3	7	0	11	2	5	10	0	
0	0	1	0	3	0	0	3	1	0	3	4	1	0	2	0	0	1	4	1	1	0	1	0	3	0	2	0	0	0	1	0	1	1	1	1	2	2	0	0	6	4	2	7	0	
0	0	2	1	1	0	1	3	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	2	0	0	1	1	1	0	0	0	1	3	2	1	1	2	2	0	6	1	
