"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	
1892	2215	1819	1782	1590	1398	1835	1741	1917	1428	826	661	128	164	274	199	57	567	301	251	223	245	394	207	297	700	136	404	289	291	388	219	798	
1890	2216	1829	1782	1587	1411	1852	1728	1974	1407	829	658	131	170	278	204	58	563	297	258	228	249	400	206	300	707	141	411	294	296	390	222	806	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1692	1827	1155	1480	1142	970	1487	1474	1311	864	738	596	120	96	233	170	48	543	188	199	165	109	271	188	243	600	121	349	252	247	312	161	601	
105	284	546	212	308	323	244	177	309	491	83	59	7	66	38	27	9	18	109	49	56	134	123	17	51	93	12	50	33	39	75	57	164	
93	105	128	90	137	118	121	77	354	52	8	3	4	8	7	7	1	2	0	10	7	6	6	1	6	14	8	12	9	10	3	4	41	
105	284	546	212	308	323	244	177	309	491	83	59	7	66	38	27	9	18	109	49	56	134	123	17	51	93	12	50	33	39	75	57	164	
1692	1827	1155	1480	1142	970	1487	1474	1311	864	738	596	120	96	233	170	48	543	188	199	165	109	271	188	243	600	121	349	252	247	312	161	601	
2	0	0	8	1	2	1	8	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1795	2111	1701	1684	1449	1291	1730	1643	1617	1355	818	655	127	162	271	197	57	561	296	248	221	243	394	205	294	693	133	399	285	286	387	217	765	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	4	3	1	1	1	13	9	3	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	
25	34	38	17	36	26	44	57	136	18	11	10	1	3	3	4	1	13	3	2	0	0	4	2	3	15	11	14	2	6	3	0	61	
16	20	7	13	2	5	5	46	17	7	10	6	1	1	1	1	1	11	3	1	0	2	4	1	2	4	4	8	3	4	3	5	8	
1743	2048	1648	1641	1405	1254	1676	1489	1438	1313	793	637	125	158	267	192	55	533	288	245	219	239	386	201	286	672	114	372	278	273	380	211	693	
2	3	2	2	1	1	1	4	6	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	1	0	
2	0	0	4	1	1	1	10	1	5	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	3	2	0	2	0	0	2	
3	2	2	2	1	2	1	13	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	
2	0	0	2	2	1	1	11	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	
