"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	
96	66	345	66	174	207	1558	1511	73	175	87	223	42	232	306	162	382	73	70	204	116	902	988	1216	1066	1077	311	148	543	58	145	323	69	
90	60	360	60	180	200	1450	1450	70	190	90	230	40	240	330	150	390	75	70	200	120	850	900	1100	1000	1000	300	150	550	55	150	330	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	60	243	42	122	129	1242	1231	38	121	46	175	28	184	236	92	326	63	66	134	76	697	452	1000	556	530	242	104	352	35	112	207	45	
25	0	63	16	29	41	54	70	22	26	13	23	6	20	37	33	16	0	0	36	22	103	90	77	144	125	13	30	108	18	10	51	18	
4	0	54	2	29	30	154	149	10	43	31	32	6	36	57	25	48	12	4	30	22	50	358	23	300	345	45	16	90	2	28	72	2	
25	0	63	16	29	41	54	70	22	26	13	23	6	20	37	33	16	0	0	36	22	103	90	77	144	125	13	30	108	18	10	51	18	
61	60	243	42	122	129	1242	1231	38	121	46	175	28	184	236	92	326	63	66	134	76	697	452	1000	556	530	242	104	352	35	112	207	45	
0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	2	0	1	2	0	5	1	0	0	2	0	1	0	0	0	0	0	
86	60	306	58	150	170	1296	1301	60	146	58	197	34	204	273	125	340	63	65	168	98	795	541	1077	700	653	255	133	460	53	122	258	63	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	0	0	2	6	8	0	1	0	0	0	0	0	0	1	0	1	0	1	4	1	4	4	4	0	0	6	1	1	1	0	
8	9	13	1	23	9	41	37	4	13	3	6	1	4	42	10	45	5	4	15	5	52	64	115	93	98	40	8	56	1	14	40	2	
5	1	23	4	4	19	32	44	2	10	9	3	0	3	15	5	28	2	3	9	3	65	36	54	48	45	18	3	41	6	5	10	0	
73	49	258	53	122	139	1195	1171	54	118	45	183	33	194	209	108	260	56	55	143	89	652	430	889	534	490	194	120	333	43	100	202	60	
0	0	2	0	0	1	8	11	0	0	0	3	0	2	7	1	0	0	0	0	0	7	2	3	4	1	2	2	6	1	0	1	0	
0	0	10	0	1	0	11	9	0	3	1	2	0	1	0	1	3	0	2	0	0	7	6	5	10	6	1	0	15	1	1	3	0	
0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	1	0	4	1	4	3	7	0	0	0	0	1	0	0	
0	0	0	0	0	0	3	12	0	1	0	0	0	0	0	0	1	0	0	0	0	4	1	3	4	2	0	0	3	0	0	1	1	
