"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	
1845	941	589	350	409	175	248	302	397	171	432	310	163	504	253	168	339	1339	341	360	392	
1550	780	510	320	360	170	230	290	350	180	390	260	150	430	230	170	310	1160	300	310	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1148	556	346	192	227	108	165	181	195	114	198	182	101	307	179	93	170	785	173	233	188	
70	58	69	79	97	25	25	82	86	41	112	58	19	73	13	34	88	110	70	58	111	
332	166	95	49	36	37	40	27	69	25	80	20	30	50	38	43	52	265	57	19	51	
70	58	69	79	97	25	25	82	86	41	112	58	19	73	13	34	88	110	70	58	111	
1148	556	346	192	227	108	165	181	195	114	198	182	101	307	179	93	170	785	173	233	188	
27	9	6	1	2	0	1	1	6	0	0	1	0	4	2	2	4	12	2	3	3	
1191	605	409	270	322	133	189	262	275	155	310	239	120	376	190	125	254	883	241	288	296	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	0	0	0	1	0	1	3	1	2	3	0	1	2	2	2	12	1	3	1	
139	72	44	37	13	6	5	13	21	14	11	19	3	19	5	16	12	121	24	11	9	
135	58	38	23	42	23	14	14	24	8	31	24	11	23	24	14	18	87	23	31	27	
866	451	313	205	261	102	167	229	220	130	264	187	106	332	153	90	217	632	188	239	257	
12	7	6	2	3	0	3	3	3	1	2	2	0	0	1	2	1	11	0	2	1	
12	7	5	1	0	0	0	0	1	1	0	2	0	1	4	1	3	12	0	0	1	
6	2	0	0	3	0	0	1	1	0	0	2	0	0	1	0	1	3	5	1	0	
10	4	3	2	0	1	0	1	2	0	0	0	0	0	0	0	0	5	0	1	0	
