"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	
888	948	892	782	864	295	400	317	315	572	297	207	182	468	276	446	444	779	236	73	358	236	255	481	151	103	1288	1506	
771	780	765	686	729	289	355	293	256	495	257	188	162	406	262	379	388	646	230	73	327	205	238	430	125	92	1117	1326	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
499	606	556	507	430	210	217	200	154	313	148	136	122	269	162	242	231	459	83	55	201	169	120	242	74	61	681	707	
118	37	61	85	128	44	66	31	98	142	76	27	9	59	38	80	88	53	102	3	60	17	75	140	25	27	137	178	
154	137	148	94	171	35	72	62	4	40	33	25	31	78	62	57	69	134	45	15	66	19	43	48	26	4	299	441	
118	37	61	85	128	44	66	31	98	142	76	27	9	59	38	80	88	53	102	3	60	17	75	140	25	27	137	178	
499	605	556	507	430	210	217	200	154	313	148	136	122	269	162	242	231	459	83	55	201	169	120	242	74	61	679	707	
12	8	15	7	8	2	4	1	3	5	5	3	1	10	0	4	3	6	1	0	10	0	0	4	0	2	19	16	
605	634	602	585	550	252	279	230	249	450	219	160	130	318	200	318	316	506	184	58	251	186	195	378	99	86	797	869	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	5	8	4	1	3	2	4	5	0	1	3	2	0	2	2	2	1	0	3	0	1	4	1	1	5	5	
74	93	55	70	52	27	19	12	9	33	7	14	25	27	27	42	27	36	12	3	32	16	11	19	6	6	85	117	
60	51	47	59	58	22	27	25	21	28	7	14	3	37	11	25	38	38	20	3	18	9	10	26	11	16	79	82	
441	457	477	428	421	192	220	186	207	368	197	129	96	236	155	246	245	419	146	52	190	158	168	320	77	61	610	632	
10	4	7	8	4	6	2	1	2	6	4	1	2	5	0	1	3	4	1	0	6	0	2	2	2	0	5	14	
4	5	7	7	3	1	2	2	4	2	0	0	0	6	4	0	0	6	2	0	1	0	2	4	0	1	5	3	
6	8	2	3	3	1	3	1	1	5	2	0	0	1	2	2	0	0	0	0	0	0	0	1	0	1	2	8	
4	12	2	2	5	2	3	1	1	3	2	1	1	4	1	0	1	1	2	0	1	3	1	2	2	0	6	8	
