"УИК №4901"	"УИК №4902"	"УИК №4903"	"УИК №4904"	"УИК №4905"	"УИК №4906"	"УИК №4907"	"УИК №4908"	"УИК №4909"	"УИК №4910"	"УИК №4911"	"УИК №4912"	"УИК №4913"	"УИК №4914"	"УИК №4915"	"УИК №4916"	"УИК №4917"	
1734	723	46	50	259	217	138	228	89	199	292	173	111	63	193	115	135	
1600	730	52	50	290	250	155	220	90	200	320	185	110	70	215	130	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1048	492	38	48	171	127	87	129	60	145	217	123	75	57	139	63	98	
150	67	8	2	27	57	25	61	1	24	42	35	10	4	19	21	23	
402	171	6	0	92	66	43	30	29	31	61	27	25	9	57	46	9	
150	67	8	2	27	57	25	61	1	24	42	35	10	4	19	21	23	
1048	492	38	48	171	127	87	129	60	145	217	123	75	57	139	63	98	
79	8	0	2	5	2	1	6	1	2	4	8	1	1	3	2	0	
1119	551	46	48	193	182	111	184	60	167	255	150	84	60	155	82	121	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	2	1	2	0	2	1	0	0	1	0	0	0	1	1	2	
153	110	6	9	28	19	21	28	3	5	35	16	6	8	10	7	6	
107	49	6	9	25	27	3	11	7	17	30	19	7	2	9	6	4	
811	380	32	29	134	134	84	142	50	145	185	111	70	48	133	67	87	
18	2	0	0	1	1	0	1	0	0	4	1	0	0	2	0	22	
11	3	0	0	3	0	1	1	0	0	0	3	0	1	0	1	0	
5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
9	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
