"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	
1554	1351	1541	1401	778	1075	140	279	201	236	198	1375	1695	887	679	385	962	237	334	217	355	203	383	471	241	525	285	363	236	128	201	196	241	245	129	198	1353	275	70	524	215	
1300	1050	1300	1150	650	900	110	250	190	250	200	1200	1400	700	650	400	800	250	300	210	350	250	400	500	250	500	250	350	200	130	200	200	200	250	150	200	1200	250	70	500	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	17	44	67	0	0	0	36	0	0	2	61	0	0	0	0	0	0	0	0	24	58	0	0	74	77	
976	762	897	925	421	600	70	184	139	165	148	735	913	444	434	282	673	114	154	158	228	171	234	368	191	349	155	268	136	73	169	163	141	194	89	108	591	155	51	234	69	
71	123	113	35	70	46	11	40	41	38	20	124	170	66	46	50	110	65	25	18	73	8	36	50	20	51	19	35	20	15	13	15	50	26	24	36	118	46	12	69	26	
253	165	290	190	159	254	29	26	10	47	32	341	317	190	87	68	0	27	54	34	49	71	94	82	39	98	15	47	44	42	18	22	9	30	37	32	433	49	7	123	28	
71	123	113	35	70	46	11	40	41	38	20	124	170	66	129	50	127	109	92	18	73	8	72	50	20	53	80	35	20	15	13	15	50	26	24	60	176	46	12	143	103	
976	762	897	925	421	600	70	184	139	165	148	735	913	444	434	282	673	114	154	158	228	171	234	368	191	349	155	268	136	73	169	163	141	194	89	108	591	155	51	234	69	
14	17	15	13	9	19	1	0	1	2	1	14	22	5	6	1	10	4	1	3	2	2	3	7	0	7	3	5	1	0	4	2	2	1	1	1	18	1	1	0	0	
1033	868	995	947	482	627	80	224	179	201	167	845	1061	505	557	331	790	219	245	173	299	177	303	411	211	395	232	298	155	88	178	176	189	219	112	167	749	200	62	377	172	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	9	7	7	7	8	0	2	0	0	1	6	8	5	2	4	16	1	0	1	1	0	1	1	0	3	2	1	3	0	0	1	2	3	1	0	11	1	1	4	0	
146	115	121	138	68	88	10	22	7	14	15	98	159	64	55	42	77	8	14	16	20	20	34	54	17	91	8	50	8	4	17	51	30	13	6	24	99	13	3	31	11	
78	84	83	79	62	65	9	24	3	8	14	89	93	70	66	15	104	22	29	8	12	22	25	13	19	25	32	30	13	4	9	8	4	33	16	10	78	15	1	35	19	
768	633	752	686	325	443	59	168	168	175	133	618	770	354	422	259	576	182	196	145	260	128	228	331	167	258	184	199	125	76	147	107	147	160	84	131	548	166	55	297	138	
17	10	12	15	5	6	0	1	1	0	0	9	9	4	5	4	7	1	1	1	1	4	6	5	1	5	2	7	4	0	3	5	2	3	0	0	4	3	1	3	2	
7	8	8	7	6	7	1	1	0	2	3	12	10	4	4	3	5	5	2	2	3	3	7	5	3	8	1	4	0	2	1	3	2	5	4	1	4	1	0	2	2	
8	4	5	6	3	6	1	5	0	1	0	7	5	3	0	4	4	0	0	0	2	0	1	2	1	4	2	4	2	1	1	1	1	1	0	1	3	1	1	2	0	
3	5	7	9	6	4	0	1	0	1	1	6	7	1	3	0	1	0	3	0	0	0	1	0	3	1	1	3	0	1	0	0	1	1	1	0	2	0	0	3	0	
