"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	"УИК №3043"	"УИК №3044"	"УИК №3045"	"УИК №3046"	"УИК №3047"	"УИК №3048"	"УИК №3049"	"УИК №3050"	"УИК №3051"	"УИК №3052"	"УИК №3053"	"УИК №3054"	"УИК №3055"	
1422	1715	2020	2313	1450	1643	2212	1389	1772	1911	1962	1979	938	1737	1386	1732	1529	1380	2083	2035	1556	1386	1602	1894	2006	1756	1561	1737	1988	1330	1598	1932	2286	1973	2285	2447	1972	1598	1705	1692	1030	1836	1492	1771	2699	2619	3157	2834	2246	2665	2195	1796	405	285	194	
1400	1600	2000	2300	1400	1500	2100	1300	1600	1900	1900	1800	800	1600	1100	1700	1200	1300	1800	1900	1500	1300	1600	1900	1900	1700	1500	1500	1900	1200	1500	1900	2200	1900	2200	2400	1900	1600	1600	1600	900	1800	1300	1700	2500	2500	2900	2700	2200	2600	2100	1700	414	300	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
848	973	1236	1496	829	847	1335	918	1031	972	1148	1055	392	997	805	1103	911	941	1279	1368	995	824	930	1084	1243	1068	1012	1109	1231	785	958	1198	1498	1076	1302	1474	1243	1035	1119	1065	596	1133	889	1110	1695	1619	1933	1687	1195	1435	1188	1009	288	256	106	
41	23	74	31	43	37	38	24	48	67	72	75	15	95	32	40	25	67	39	46	46	49	70	88	61	43	40	44	56	33	43	53	45	68	72	29	37	26	27	21	16	43	53	46	38	31	39	29	50	46	80	68	103	28	88	
511	604	690	773	528	616	727	358	521	861	680	670	393	508	263	557	264	292	482	486	459	427	600	728	596	589	448	347	613	382	499	649	657	756	826	897	620	539	454	514	288	624	358	544	767	850	928	984	955	1119	832	623	23	16	6	
41	23	74	31	43	37	38	24	48	67	72	75	15	95	32	40	25	67	39	46	46	49	70	88	61	43	40	44	56	33	43	53	45	68	72	29	37	26	27	21	16	43	53	46	38	31	39	29	50	46	80	68	103	28	88	
848	973	1232	1495	829	847	1335	918	1031	972	1148	1055	392	997	805	1103	911	941	1276	1366	994	823	930	1084	1243	1068	1011	1107	1231	784	956	1198	1497	1076	1302	1473	1243	1035	1119	1065	596	1133	889	1110	1688	1610	1933	1686	1195	1434	1188	1009	288	256	106	
4	11	21	26	20	12	13	10	12	10	17	19	7	10	15	18	22	5	13	26	17	12	11	10	22	14	16	15	22	11	11	18	15	15	15	20	17	17	16	18	7	12	18	13	17	31	26	17	20	15	19	10	8	5	4	
885	985	1285	1500	852	872	1360	932	1067	1029	1203	1111	400	1082	822	1125	914	1003	1302	1386	1023	860	989	1162	1282	1097	1035	1136	1265	806	988	1233	1527	1129	1359	1482	1263	1044	1130	1068	605	1164	924	1143	1709	1610	1946	1698	1225	1465	1249	1067	383	279	190	
