"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	
1020	1441	2659	2695	2469	2730	2667	2652	2659	2638	2780	1450	1299	
1070	1465	2680	2540	2545	2740	2750	2580	2710	2650	2650	1480	1340	
0	0	0	0	0	0	0	0	0	0	0	0	0	
533	970	1827	1777	1586	1791	1671	1825	1850	1603	1733	844	781	
26	20	43	141	45	36	50	30	22	29	26	8	25	
511	475	810	622	914	913	1029	725	838	1018	891	628	534	
26	20	43	141	45	36	50	30	22	29	26	8	25	
533	970	1827	1774	1586	1791	1671	1824	1850	1601	1732	844	780	
8	12	34	46	34	36	31	35	37	39	40	13	10	
551	978	1836	1869	1597	1791	1690	1819	1835	1591	1718	839	795	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	11	11	13	11	18	19	7	12	12	7	11	
129	229	441	411	337	436	405	446	487	389	375	243	191	
48	65	125	137	96	120	106	117	114	102	165	56	39	
357	641	1188	1236	1099	1159	1095	1163	1167	1034	1093	507	529	
2	15	27	26	17	20	22	35	17	23	21	6	11	
5	6	16	13	12	17	11	17	14	9	11	6	6	
5	10	17	18	7	10	17	7	17	12	24	9	4	
3	7	11	17	16	18	16	15	12	10	17	5	4	
