"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	"УИК №3220"	"УИК №3221"	"УИК №3222"	"УИК №3223"	"УИК №3224"	"УИК №3225"	"УИК №3226"	"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	"УИК №3280"	"УИК №3281"	
1732	1320	317	1705	1723	1712	1605	74	977	305	476	409	299	629	1322	125	373	542	200	197	750	286	1929	1930	773	1364	1635	1714	585	156	366	68	123	
1600	1300	300	1700	1750	1750	1600	70	1000	300	450	400	300	650	1400	100	350	550	200	190	750	250	1950	1950	750	1400	1650	1700	550	150	350	80	130	
0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1208	648	150	1000	943	1049	825	48	504	156	240	233	153	300	688	60	164	244	117	93	488	129	1163	1167	420	721	845	1417	284	97	267	51	123	
10	69	48	37	49	52	57	6	111	14	27	20	10	28	65	16	55	38	13	15	9	16	32	27	26	51	117	34	32	9	2	12	0	
382	583	102	663	758	649	718	16	385	130	160	147	137	322	647	24	131	257	70	82	253	105	755	756	304	628	688	249	234	44	81	17	7	
10	69	48	37	49	52	57	6	111	14	50	20	10	28	65	16	55	49	13	15	9	16	32	27	26	51	117	34	32	9	2	12	0	
1208	648	150	1000	943	1049	823	48	504	156	240	233	153	300	688	60	164	244	117	93	488	129	1163	1166	420	721	845	1417	284	97	267	51	123	
32	11	4	14	16	20	16	1	8	2	2	7	4	4	15	3	3	3	0	2	13	2	28	21	12	21	11	18	7	0	17	0	1	
1186	706	194	1023	976	1081	864	53	607	168	288	246	159	324	738	73	216	290	130	106	484	143	1167	1172	434	751	951	1433	309	106	252	63	122	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	1	13	11	11	7	0	7	1	1	4	2	3	3	2	1	7	1	0	3	1	10	7	5	13	9	7	4	3	6	1	0	
223	154	31	225	203	232	193	13	97	29	24	25	29	34	121	11	26	63	26	23	143	47	330	432	126	221	210	187	52	14	15	9	11	
129	78	24	107	89	85	62	3	46	16	34	32	10	29	78	8	13	20	12	12	25	22	100	101	34	60	85	144	31	11	21	9	13	
778	454	135	641	642	726	578	36	443	119	224	183	115	247	515	51	167	190	91	67	299	68	688	596	252	429	632	1018	218	77	202	43	91	
24	2	1	10	14	11	5	0	8	1	0	1	1	6	7	0	1	3	0	0	3	2	15	12	4	5	3	52	0	0	0	0	2	
15	6	2	12	5	6	10	1	2	2	1	1	0	1	6	1	5	4	0	1	4	1	12	10	7	9	4	11	1	0	3	0	3	
6	2	0	11	4	3	7	0	4	0	4	0	2	3	5	0	2	1	0	1	2	1	4	5	0	3	5	5	1	1	3	0	0	
7	4	0	4	8	7	2	0	0	0	0	0	0	1	3	0	1	2	0	2	5	1	8	9	6	11	3	9	2	0	2	1	2	
