"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	
1564	1730	1738	1877	82	200	200	282	446	163	160	219	173	314	351	346	239	480	449	
1660	1840	1850	2000	80	200	200	290	440	200	190	220	190	350	350	400	270	490	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
914	970	1047	1033	49	75	100	153	207	69	101	93	90	119	91	188	113	296	225	
47	71	43	90	9	71	42	66	106	59	15	70	48	109	126	82	59	44	77	
699	799	760	877	22	54	58	71	127	72	74	57	52	122	133	130	98	150	148	
47	71	43	90	9	71	42	66	106	59	15	70	48	109	126	82	59	44	77	
914	970	1047	1033	49	75	100	153	207	69	101	93	90	119	91	188	113	296	225	
10	7	6	9	0	0	0	0	1	0	0	1	0	0	2	1	2	4	4	
951	1034	1084	1114	58	146	142	219	312	128	116	162	138	228	215	269	170	336	298	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	1	4	13	1	0	1	0	2	0	0	0	0	1	1	2	1	0	0	
110	169	196	212	5	5	13	10	25	4	1	8	2	19	18	17	12	39	36	
76	53	76	65	8	5	5	13	32	9	4	6	9	19	16	22	6	11	24	
719	771	774	788	42	128	114	192	243	112	110	147	126	181	176	217	147	277	236	
9	18	12	11	0	4	5	2	3	0	0	0	1	3	2	6	2	5	0	
11	10	1	3	2	3	1	0	5	1	1	0	0	3	1	0	1	1	1	
6	3	4	8	0	1	0	1	2	1	0	0	0	1	0	4	1	3	1	
9	9	17	14	0	0	3	1	0	1	0	1	0	1	1	1	0	0	0	
