"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	
1572	1671	373	2176	1403	406	267	386	198	478	250	230	182	231	368	
1400	1500	300	2000	1300	400	250	350	200	500	250	200	170	230	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	935	212	1260	760	160	91	119	73	223	136	108	90	96	182	
38	41	21	59	97	103	89	93	42	48	49	65	49	59	94	
407	524	67	681	443	137	70	138	85	229	65	27	31	75	124	
38	41	21	59	97	103	89	93	42	48	49	65	49	59	94	
955	935	212	1260	760	160	91	119	73	223	136	108	90	96	182	
14	11	2	9	13	1	0	1	3	6	2	0	0	3	2	
979	965	231	1310	844	262	180	211	112	265	183	173	139	152	274	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	2	11	7	0	1	1	1	2	2	1	1	1	0	
100	121	16	154	80	19	10	7	6	30	20	15	24	10	10	
77	76	19	100	73	17	22	21	17	37	27	12	8	21	17	
754	720	176	985	658	221	145	174	85	187	130	139	99	116	237	
16	15	13	22	13	1	0	3	2	3	1	4	2	0	2	
9	14	1	10	7	0	0	2	0	3	2	0	1	2	3	
5	5	1	9	3	1	1	2	0	2	0	0	0	1	4	
13	10	3	19	3	3	1	1	1	1	1	2	4	1	1	
