"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	
755	1413	1549	1218	1394	1167	689	658	547	475	191	326	790	379	229	153	129	148	219	212	310	236	236	335	369	195	287	
700	1450	1550	1250	1450	1150	650	650	550	450	200	350	850	400	250	150	150	150	250	200	350	250	250	350	400	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
395	836	799	629	730	569	402	348	276	384	71	172	384	129	81	86	82	88	80	109	184	107	89	149	135	94	85	
30	56	64	60	72	34	41	22	39	19	57	52	133	140	69	37	33	11	88	64	86	76	93	105	128	53	90	
275	558	687	561	648	547	207	280	235	47	72	126	333	131	100	27	35	51	82	27	80	67	68	96	137	53	125	
30	56	64	60	72	34	41	22	39	19	57	52	133	140	69	37	33	11	88	64	86	76	93	105	128	53	90	
395	836	799	629	730	569	402	348	276	384	71	172	384	129	81	86	82	88	80	109	184	107	89	149	135	94	85	
4	12	8	8	7	2	7	1	1	5	2	1	5	0	0	0	0	2	0	0	10	0	1	0	1	2	1	
421	880	855	681	795	601	436	369	314	398	126	223	512	269	150	123	115	97	168	173	260	183	181	254	262	145	174	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	14	6	7	8	5	6	2	2	6	0	1	2	1	2	0	0	1	3	1	10	0	0	0	0	0	3	
69	116	101	70	93	61	59	44	35	22	8	25	72	25	17	9	11	15	23	17	16	13	18	22	18	13	14	
33	55	48	59	44	40	29	28	17	42	13	11	41	18	7	10	8	14	15	10	17	16	9	17	17	13	23	
293	654	666	519	618	470	321	280	247	316	102	178	385	219	118	96	93	61	120	137	206	148	150	208	223	116	128	
4	18	13	4	11	7	6	7	3	6	1	6	3	1	0	1	0	2	2	3	4	3	1	1	1	1	2	
5	9	7	6	7	6	5	2	6	2	0	0	4	4	2	7	1	1	3	5	5	1	2	2	0	2	1	
3	5	5	5	4	2	3	2	2	2	1	1	1	1	1	0	1	1	1	0	1	2	1	0	2	0	1	
12	9	9	11	10	10	7	4	2	2	1	1	4	0	3	0	1	2	1	0	1	0	0	4	1	0	2	
