"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	
1112	871	1627	906	445	524	221	325	379	336	464	806	366	200	335	208	
1000	800	1600	900	450	500	200	300	350	300	450	800	350	190	300	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
677	530	950	383	215	231	95	101	163	128	267	451	225	116	181	87	
24	34	61	70	37	121	64	66	87	62	69	37	51	44	66	83	
299	236	589	447	198	148	41	133	100	110	114	312	74	30	53	20	
24	34	61	70	37	121	64	66	87	62	69	37	51	44	66	83	
677	530	950	383	215	231	95	101	163	128	267	451	225	116	181	87	
12	6	6	4	1	3	0	0	3	0	4	2	2	1	0	0	
689	558	1005	449	251	349	159	167	247	190	332	486	274	159	247	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	10	2	2	0	0	3	2	0	1	4	1	1	2	1	
93	88	133	55	41	48	10	23	33	28	34	52	16	8	21	17	
50	35	65	43	30	39	15	22	16	22	29	30	26	5	20	23	
509	414	747	337	174	255	122	116	193	137	249	391	219	141	197	129	
11	4	21	3	3	4	2	0	0	1	5	3	6	1	2	0	
8	4	8	4	0	2	1	0	1	1	6	1	3	3	5	0	
0	4	6	0	0	0	1	1	1	0	1	1	2	0	0	0	
11	6	15	5	1	1	8	2	1	1	7	4	1	0	0	0	
