"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	
887	557	873	381	855	860	428	115	247	222	214	194	688	288	256	401	158	315	355	219	
900	650	900	400	950	900	450	120	250	250	250	200	700	300	250	400	150	280	350	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
558	344	555	260	571	845	264	87	143	114	114	97	321	119	109	143	83	148	207	163	
50	100	148	58	171	6	69	17	69	60	69	53	139	102	130	194	60	114	111	50	
292	206	197	82	208	49	117	16	38	76	67	50	240	79	11	63	7	18	32	37	
50	100	148	58	171	6	69	17	69	60	69	53	139	102	130	194	60	114	111	50	
558	344	555	260	571	845	264	87	143	114	114	97	321	119	109	143	83	148	207	163	
8	7	5	2	7	7	5	0	0	2	1	4	7	2	1	3	0	6	1	1	
600	437	698	316	735	844	328	104	212	172	182	146	453	219	238	334	143	256	317	212	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	3	1	7	4	3	0	2	2	2	1	3	1	4	4	0	2	2	0	
83	32	63	31	65	59	38	6	12	15	17	9	16	8	18	23	7	7	11	8	
36	31	62	20	47	70	29	7	14	14	16	14	45	11	25	15	8	14	21	12	
452	358	536	255	593	673	252	89	181	136	140	117	374	192	190	285	126	228	282	188	
15	4	9	2	8	20	5	1	0	3	0	2	4	5	1	6	2	0	1	2	
2	2	13	2	4	4	0	0	1	0	3	1	8	1	0	0	0	5	0	0	
3	5	1	5	7	6	1	0	1	1	4	1	3	0	0	0	0	0	0	0	
6	2	11	0	4	8	0	1	1	1	0	1	0	1	0	1	0	0	0	2	
