"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	
1109	1784	756	1885	1990	1795	810	1079	1598	1727	1848	1695	1706	1469	1727	1816	1799	1494	784	723	1646	1617	1630	678	973	
1125	1808	768	1922	1940	1861	809	1138	1640	1801	1902	1681	1740	1549	1730	1870	1863	1540	813	753	1724	1678	1695	652	1006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
581	972	412	1090	985	983	461	461	756	833	929	929	936	715	974	923	839	698	491	342	846	696	879	356	409	
78	146	65	67	73	97	51	89	134	106	200	140	93	105	121	115	89	116	63	66	102	113	81	52	94	
466	690	291	765	882	781	297	588	750	862	773	612	711	729	635	832	935	726	259	345	776	869	735	244	503	
78	146	65	67	73	97	51	89	134	106	200	140	93	105	121	115	89	116	63	66	102	113	81	52	94	
581	972	412	1090	983	983	461	461	756	833	929	929	936	715	973	923	839	698	491	342	846	696	879	356	409	
4	0	2	10	9	5	3	2	6	8	10	10	9	10	6	4	4	5	0	7	10	5	5	4	7	
655	1118	475	1147	1047	1075	509	548	884	931	1119	1059	1020	810	1088	1034	924	809	554	401	938	804	955	404	496	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	2	5	4	7	3	2	6	9	10	1	3	6	6	6	4	2	1	2	4	6	2	2	6	
65	94	38	134	99	102	25	49	89	106	132	115	122	71	127	85	106	64	45	38	101	62	73	33	54	
72	66	39	60	83	61	40	42	68	62	69	61	64	62	53	76	73	69	32	35	64	64	88	33	36	
496	932	378	914	829	877	434	448	698	737	879	845	799	644	869	839	721	655	471	319	758	655	768	330	393	
4	8	3	13	15	8	2	3	4	7	10	13	3	12	12	8	6	4	1	3	3	3	10	2	1	
9	6	13	9	7	9	4	0	12	6	8	8	13	4	11	12	8	9	2	3	3	5	8	2	4	
5	4	1	6	7	6	1	2	6	2	6	10	10	8	4	5	5	5	1	1	4	5	4	0	1	
2	3	1	6	3	5	0	2	1	2	5	6	6	3	6	3	1	1	1	0	1	4	2	2	1	
