"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	
1693	842	853	1026	1692	1632	1047	1667	1621	2213	1618	1664	1132	1576	1683	533	454	643	223	342	1002	278	147	773	463	702	150	450	530	917	371	441	619	340	452	280	181	378	273	286	177	
1722	857	873	1062	1729	1658	1067	1684	1656	2291	1658	1711	1180	1596	1720	542	470	661	224	348	1026	289	151	787	475	699	157	462	554	936	379	441	630	345	468	283	188	384	281	294	181	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1001	695	521	606	764	785	342	872	683	1345	769	882	664	778	733	215	231	521	107	238	703	242	80	576	356	548	115	295	425	700	267	348	499	302	387	250	161	278	201	245	131	
36	30	28	46	43	53	30	63	51	41	15	89	14	43	51	74	12	29	29	12	48	0	31	66	17	36	5	40	30	43	31	23	59	17	18	11	0	25	33	13	22	
685	132	324	410	922	820	695	749	922	905	874	734	502	775	936	253	227	111	88	98	275	47	40	145	102	115	37	127	99	193	81	70	72	26	63	22	27	81	47	36	28	
36	30	28	46	43	53	30	63	51	41	15	89	14	43	51	74	12	29	29	12	48	0	31	66	17	36	5	40	30	43	31	23	59	17	18	11	0	25	33	13	22	
1001	695	521	606	764	785	342	872	683	1345	769	880	664	778	733	215	231	521	107	238	703	242	80	576	356	548	115	295	425	700	267	348	499	302	387	250	161	278	201	245	131	
5	0	6	8	6	6	3	3	11	21	0	9	6	0	9	3	0	7	1	0	4	1	0	0	0	5	4	6	3	0	11	2	12	3	7	1	0	1	0	1	0	
1032	725	543	644	801	832	369	932	723	1365	784	960	672	821	775	286	243	543	135	250	747	241	111	642	373	579	116	329	452	743	287	369	546	316	398	260	161	302	234	257	153	
0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	4	2	2	5	2	4	4	6	5	5	3	5	1	3	1	2	1	1	5	0	4	0	0	0	0	0	1	1	2	0	3	1	1	0	0	2	1	0	0	
118	68	73	102	131	87	48	93	93	192	120	142	46	146	142	52	47	55	23	33	90	12	24	25	11	66	7	30	28	35	14	16	30	23	24	17	4	11	10	32	4	
66	21	19	33	55	30	39	54	72	157	58	67	27	33	57	12	17	34	6	17	45	13	7	33	14	36	2	28	19	35	11	20	49	3	22	26	7	12	19	13	10	
829	624	444	495	600	697	271	766	536	958	586	698	574	608	555	209	174	448	104	192	597	211	75	584	345	469	107	263	396	665	255	328	452	287	349	214	150	270	203	209	139	
5	5	1	3	3	6	3	2	3	28	1	22	6	6	6	2	0	0	0	1	4	2	0	0	1	0	0	2	2	3	1	0	4	1	0	1	0	2	0	1	0	
5	5	1	7	4	4	4	6	11	6	6	12	6	12	10	4	2	4	0	2	5	2	1	0	2	3	0	5	3	3	3	3	4	1	2	2	0	4	1	1	0	
4	0	1	1	3	0	0	4	1	5	4	8	6	7	3	4	0	0	0	3	0	1	0	0	0	1	0	1	3	0	1	0	2	0	0	0	0	1	0	1	0	
0	0	0	1	3	3	2	3	3	13	4	6	4	4	1	0	2	0	1	1	1	0	0	0	0	4	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	
