"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	
450	217	665	187	402	124	108	655	246	358	403	750	364	285	395	150	267	169	442	371	359	108	141	730	461	544	681	370	378	76	74	390	996	973	164	353	
440	200	700	160	410	110	90	630	240	370	410	750	400	280	390	140	270	170	450	380	370	110	150	760	500	560	700	380	400	60	70	400	1010	1010	170	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260	112	377	50	257	66	33	379	148	237	256	476	227	166	194	81	128	105	245	223	247	74	75	398	277	253	408	186	178	43	29	160	525	428	81	212	
58	39	59	68	36	22	57	72	20	17	16	43	33	30	60	16	36	18	69	14	26	7	11	55	41	61	80	66	39	13	24	51	67	85	9	44	
122	49	264	42	117	22	0	179	72	116	138	231	140	84	136	43	106	47	136	143	97	29	64	307	182	246	212	128	183	4	17	189	418	497	80	104	
58	39	59	68	36	22	57	72	20	17	16	43	33	30	60	16	36	18	69	14	26	7	11	55	41	61	80	66	39	13	24	51	67	85	9	44	
260	112	377	50	257	66	33	378	148	237	256	476	227	166	194	81	128	105	245	223	247	74	75	398	277	253	408	186	178	43	29	160	525	428	81	212	
3	1	6	0	4	0	2	6	0	1	0	4	1	4	2	0	0	1	4	3	0	0	0	2	1	5	7	3	4	0	0	7	2	10	0	0	
315	150	430	118	289	88	88	444	168	253	272	515	259	192	252	97	164	122	310	234	273	81	86	451	317	309	481	249	213	56	53	204	590	503	90	256	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	3	5	1	4	0	3	0	2	2	5	2	3	0	1	0	0	1	1	0	0	2	6	0	3	3	1	1	0	0	2	5	1	0	2	
41	16	106	18	47	11	5	65	24	44	47	96	31	37	40	30	31	10	46	39	35	7	8	77	48	65	57	43	47	10	10	40	107	107	7	45	
12	4	30	4	15	8	0	39	13	16	15	27	25	21	19	5	5	3	18	14	16	5	1	42	23	22	29	20	17	4	1	8	44	30	9	21	
256	129	283	88	224	63	82	325	128	187	199	369	193	128	186	59	119	106	242	177	217	65	75	319	239	216	386	180	148	41	41	149	427	358	73	177	
2	0	5	0	1	0	1	5	0	0	2	6	4	1	1	0	1	3	1	1	4	4	0	3	3	2	1	1	0	1	1	1	3	0	0	6	
2	1	2	3	1	0	0	0	3	2	5	3	1	1	2	1	6	0	1	0	1	0	0	3	3	0	2	2	0	0	0	2	3	5	1	3	
1	0	1	0	0	0	0	3	0	2	1	6	2	0	3	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	2	0	1	
0	0	0	0	0	2	0	4	0	0	1	3	1	1	1	0	2	0	1	0	0	0	0	1	1	1	2	0	0	0	0	1	1	0	0	1	
