"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	
689	615	570	644	567	456	384	262	538	237	157	357	518	328	299	348	265	267	496	218	294	184	
700	625	568	644	579	456	386	257	557	229	157	360	540	341	295	343	271	259	513	239	309	185	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
385	407	316	378	365	224	296	218	294	179	60	277	381	199	207	252	195	130	332	144	199	140	
48	42	47	99	46	127	41	23	158	26	58	64	38	80	68	67	41	104	102	52	78	34	
267	176	205	167	168	105	49	16	105	24	39	19	121	62	20	24	35	25	79	43	32	11	
48	42	47	99	46	127	41	23	158	26	58	64	38	80	68	67	41	104	102	52	78	34	
385	407	316	378	365	224	296	218	294	179	60	277	381	199	207	252	195	130	332	144	199	140	
4	4	4	7	23	2	18	9	42	24	4	0	3	16	0	0	0	0	11	1	3	0	
429	445	359	470	388	349	319	232	410	181	114	341	416	263	275	319	236	234	423	195	274	174	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	2	0	3	6	2	0	0	1	0	0	1	2	0	1	0	1	1	0	1	0	
65	54	41	59	27	2	6	10	7	5	4	8	13	8	8	9	10	2	17	9	6	7	
35	28	33	26	19	15	5	10	8	5	5	10	22	8	8	9	6	10	10	10	6	6	
318	345	270	374	330	323	306	212	391	168	105	322	377	241	257	299	217	216	391	174	261	158	
3	5	7	2	3	1	0	0	2	0	0	0	1	0	0	0	2	2	3	2	0	3	
1	3	2	5	3	0	0	0	0	0	0	1	2	2	2	1	1	1	1	0	0	0	
2	3	4	4	2	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	
2	4	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	
