"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	
1124	1064	513	1093	1157	833	1162	973	1502	1198	1426	2375	2040	1272	1558	384	770	2125	
1000	1000	500	1000	1000	800	1100	900	1400	1000	1200	2300	2000	1200	1500	350	700	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
661	618	221	535	542	536	522	468	728	582	749	1255	921	548	742	210	379	979	
51	76	77	75	156	51	100	121	354	236	94	140	159	128	234	65	259	408	
288	306	202	390	302	213	478	311	318	182	357	905	920	524	524	75	62	613	
50	76	77	75	156	51	100	121	354	236	94	140	159	128	234	65	259	408	
661	618	221	535	542	536	522	468	728	582	749	1255	921	548	742	210	379	979	
9	11	3	1	4	42	5	7	0	8	12	11	18	8	5	2	4	14	
702	683	295	609	694	545	617	582	1082	810	831	1384	1062	668	971	273	634	1373	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	1	5	10	4	6	5	5	8	4	14	7	2	9	2	4	2	
118	124	50	105	117	33	101	67	113	77	123	195	144	78	98	13	48	210	
47	66	21	47	48	40	49	34	71	54	43	81	86	47	56	7	35	91	
514	472	219	433	497	454	450	461	855	649	635	1049	797	522	793	247	537	1044	
4	5	2	4	5	5	1	6	12	7	10	18	12	7	4	3	5	10	
9	4	0	6	4	3	6	4	4	6	7	13	9	4	6	0	1	7	
5	3	1	3	9	3	3	3	6	7	3	6	6	5	2	1	2	6	
3	2	1	6	4	3	1	2	16	2	6	8	1	3	3	0	2	3	
