"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №571"	"УИК №572"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №582"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	
82	104	98	106	24	26	22	18	24	19	21	34	40	35	37	37	37	36	41	36	12	14	89	100	17	12	26	24	24	13	16	28	26	15	19	103	103	98	90	103	62	116	98	62	55	26	30	30	16	49	38	16	16	16	60	61	49	13	13	8	14	27	30	29	24	23	21	24	31	22	31	32	30	15	28	24	24	25	23	24	24	23	31	31	25	34	21	43	11	14	27	22	63	30	
82	104	98	106	24	26	22	18	24	19	21	34	40	35	37	37	37	36	41	36	12	14	89	100	17	12	26	24	24	13	16	28	26	15	19	103	103	98	90	103	62	116	98	62	55	26	30	30	16	49	38	16	16	16	60	61	49	13	13	8	14	27	30	29	24	23	21	24	31	22	31	32	30	15	28	24	24	25	23	24	24	23	31	31	25	34	21	43	11	14	27	22	63	30	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	104	98	104	24	26	22	18	24	19	21	34	40	35	37	37	37	36	41	36	12	14	89	100	17	12	26	24	24	13	16	28	26	14	19	101	103	97	90	103	62	116	98	62	55	26	30	30	16	49	38	16	16	16	60	61	49	13	13	8	14	27	30	29	24	23	21	24	31	22	31	32	28	15	28	24	24	25	23	24	24	23	31	31	25	34	19	43	11	14	27	22	63	29	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	104	98	104	24	26	22	18	24	19	21	34	40	35	37	37	37	36	41	36	12	14	89	100	17	12	26	24	24	13	16	28	26	14	19	101	103	97	90	103	62	116	98	62	55	26	30	30	16	49	38	16	16	16	60	61	49	13	13	8	14	27	30	29	24	23	21	24	31	22	31	32	28	15	28	24	24	25	23	24	24	23	31	31	25	34	19	43	11	14	27	22	63	29	
6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	3	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72	104	98	104	24	26	22	18	24	19	21	34	40	34	37	21	37	33	37	34	12	14	89	100	16	12	26	24	24	13	16	28	26	14	19	100	103	96	90	103	62	116	91	62	54	26	30	29	16	49	38	16	16	16	60	61	49	13	13	8	14	27	30	29	24	23	21	24	31	17	31	31	28	15	27	24	24	25	23	24	24	23	31	31	25	34	19	43	11	14	27	22	63	29	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	43	0	5	6	0	10	0	0	6	7	4	0	1	3	8	1	0	1	2	3	2	1	1	3	1	2	0	0	0	8	3	2	2	0	4	0	4	3	0	0	2	7	0	3	4	0	3	5	2	1	0	8	0	2	0	2	4	0	0	0	0	1	6	2	0	14	2	1	2	1	3	5	3	0	3	0	4	0	7	3	7	0	0	0	8	0	3	0	2	2	2	3	3	
