"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	
848	792	468	1815	2662	857	322	1410	1483	2422	2305	764	573	1714	2186	1529	2014	2021	1070	1642	1065	503	270	952	833	289	637	294	1083	394	826	363	803	494	507	672	664	356	427	148	400	302	145	491	261	
770	770	450	1500	2300	855	280	1250	1350	2200	2040	680	570	1600	2000	1400	1800	1800	980	1500	950	480	230	860	845	280	615	255	1050	355	780	348	820	410	490	715	675	360	420	140	445	315	162	489	265	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
501	503	302	1069	1748	620	219	912	1033	1585	1607	465	268	1042	1483	957	1699	1157	902	875	583	327	197	739	642	258	516	179	791	280	450	194	452	349	421	460	420	192	292	113	252	220	135	408	207	
122	63	38	104	83	72	42	88	94	139	114	49	123	68	84	81	61	68	53	51	74	56	33	49	36	17	34	44	99	52	72	48	58	26	50	87	56	109	33	23	54	16	10	45	33	
147	204	110	327	469	163	19	250	223	476	319	166	179	490	433	362	40	575	25	574	293	97	0	72	167	5	65	32	160	23	258	106	310	35	19	168	199	59	95	4	139	79	17	36	25	
122	63	38	104	83	72	42	88	94	139	114	49	123	68	84	81	61	68	53	51	74	56	33	49	36	17	34	44	99	52	72	48	58	26	50	87	56	109	33	23	54	16	10	45	33	
501	503	302	1069	1748	620	219	912	1033	1585	1606	465	268	1042	1483	957	1698	1157	902	875	583	327	197	739	642	258	516	179	791	280	450	194	452	349	421	460	420	192	292	113	252	220	135	408	207	
4	7	3	15	21	4	2	13	15	22	22	8	6	15	31	11	12	12	46	11	3	1	1	4	8	2	6	0	9	1	5	5	5	1	7	3	8	3	3	4	4	7	4	7	0	
619	559	337	1158	1810	688	259	987	1112	1702	1698	506	385	1095	1536	1027	1747	1213	909	915	654	382	229	784	670	273	544	223	881	331	517	237	505	374	464	544	468	298	322	132	302	229	141	446	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	1	12	17	7	0	4	5	9	5	2	1	12	15	4	8	5	38	3	2	2	0	7	3	3	7	0	3	0	1	2	4	1	2	1	1	2	3	1	0	1	0	2	0	
60	33	35	162	200	56	28	72	143	221	187	57	39	86	143	82	96	98	109	107	70	34	19	108	92	32	126	6	88	20	75	46	54	49	31	57	43	16	39	12	31	21	13	43	21	
38	32	21	85	136	59	15	56	61	97	118	29	27	79	105	75	81	73	64	54	42	18	5	53	74	18	34	11	48	46	33	31	33	21	25	23	27	9	14	4	27	16	5	21	6	
506	476	271	852	1400	544	213	827	875	1307	1313	397	310	884	1222	843	1512	992	523	710	524	307	198	587	489	216	352	201	728	255	390	154	401	296	397	458	393	264	252	110	236	187	121	367	212	
7	7	5	15	23	8	0	19	12	31	34	6	3	10	20	8	20	21	48	19	5	7	3	11	4	1	4	0	4	4	11	2	5	5	1	3	0	1	2	3	7	1	1	8	0	
1	2	0	8	8	7	1	0	3	12	17	4	3	15	11	8	10	8	42	6	5	3	1	7	4	1	10	4	5	4	2	1	2	0	1	1	4	1	8	0	0	1	0	1	0	
1	2	3	14	8	3	2	7	6	13	14	1	2	6	12	3	8	9	43	10	4	9	1	6	0	0	6	0	2	2	3	1	4	2	2	0	0	4	1	2	1	2	1	2	1	
2	2	1	10	18	4	0	2	7	12	10	10	0	3	8	4	12	7	42	6	2	2	2	5	4	2	5	1	3	0	2	0	2	0	5	1	0	1	3	0	0	0	0	2	0	
