"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	
1674	1400	1449	1537	1506	1614	1475	1498	1272	1404	1540	1587	1590	1682	1499	1550	1499	1627	1634	1727	
1400	1300	1400	1400	1400	1600	1400	1400	1400	1400	1500	1500	1500	1600	1400	1500	1500	1500	1600	1600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1089	1000	1128	1072	1021	1338	1144	1124	977	1146	1269	1017	1055	1132	985	1038	1196	1164	1218	1254	
89	96	82	56	87	35	25	29	51	45	57	42	74	71	78	135	52	84	93	74	
222	204	190	272	292	227	231	247	372	209	174	441	371	397	337	327	252	252	289	272	
89	96	82	56	87	35	25	29	51	45	57	42	74	71	78	135	52	84	93	74	
1083	1000	1128	1072	1021	1338	1144	1124	977	1102	1269	1017	1055	1132	985	1038	1196	1164	1218	1254	
16	10	14	19	0	22	12	21	13	13	10	16	17	16	20	18	13	12	19	21	
1156	1086	1196	1109	1108	1351	1157	1132	1015	1134	1316	1043	1112	1187	1043	1155	1235	1236	1292	1307	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	11	4	5	9	11	4	6	7	9	7	9	7	10	7	7	11	11	6	7	
140	143	135	110	114	163	123	150	117	162	128	154	111	152	120	130	180	158	161	167	
92	86	72	104	59	98	77	70	89	96	64	68	94	100	69	88	88	101	96	104	
879	819	953	866	896	1025	907	874	772	832	1075	774	859	873	823	893	912	927	999	998	
14	10	14	8	12	24	15	13	14	11	19	19	20	28	15	17	12	19	16	12	
14	9	6	7	10	8	15	7	6	4	5	11	6	10	4	8	6	5	5	7	
6	5	7	4	5	10	7	5	6	15	6	4	9	5	3	4	15	8	5	9	
4	3	5	5	3	12	9	7	4	5	12	4	6	9	2	8	11	7	4	3	
