"УИК №4201"	"УИК №4202"	"УИК №4203"	"УИК №4204"	"УИК №4205"	"УИК №4206"	"УИК №4207"	"УИК №4208"	"УИК №4209"	"УИК №4210"	"УИК №4211"	"УИК №4212"	"УИК №4213"	"УИК №4214"	"УИК №4215"	"УИК №4216"	"УИК №4217"	"УИК №4218"	"УИК №4219"	"УИК №4220"	"УИК №4221"	"УИК №4222"	"УИК №4223"	"УИК №4224"	"УИК №4225"	"УИК №4226"	"УИК №4227"	"УИК №4228"	"УИК №4229"	"УИК №4230"	"УИК №4231"	"УИК №4232"	"УИК №4233"	"УИК №4234"	
2693	2489	803	1242	2590	1324	1354	1195	1474	1252	1574	1206	1601	1563	1563	816	1143	856	1517	1388	941	816	2148	907	1212	865	2620	2561	2844	2585	2742	1196	1317	2345	
2650	2550	800	1200	2500	1300	1300	1150	1450	1250	1550	1200	1650	1450	1550	750	1150	850	1500	1350	900	800	2194	850	1150	800	2650	2550	2850	2600	2700	1100	1350	2350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1583	1393	540	731	1468	727	795	712	917	734	891	688	996	834	811	495	605	528	850	808	529	442	1861	403	537	693	1369	1326	1728	1399	1321	731	853	1424	
97	125	30	65	259	66	100	74	57	99	94	49	82	156	82	113	86	42	141	88	74	46	29	43	30	60	98	146	130	142	86	60	67	65	
970	1032	230	404	773	507	405	364	476	417	565	463	572	460	657	142	459	280	509	454	297	312	304	404	583	47	1183	1078	992	1059	1293	309	430	861	
97	125	30	65	259	66	100	74	58	98	94	49	82	156	82	113	86	42	141	88	74	46	29	43	30	60	98	146	130	142	86	60	67	65	
1583	1393	540	731	1468	727	795	712	916	734	891	688	996	834	811	495	605	528	850	808	529	442	1861	403	537	693	1369	1325	1726	1399	1321	731	853	1424	
23	28	5	8	27	7	14	14	49	15	9	10	15	9	14	13	3	9	15	12	11	8	16	4	3	3	18	39	24	14	26	11	9	18	
1657	1490	565	788	1700	786	881	772	925	817	976	727	1063	981	879	595	688	561	976	884	592	480	1874	442	564	750	1449	1432	1832	1527	1381	780	911	1471	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	17	3	3	11	2	4	5	7	6	4	3	12	11	6	5	5	5	7	1	3	1	13	4	1	0	3	8	12	11	7	12	1	7	
187	148	60	83	188	68	87	96	116	87	104	71	140	114	121	55	95	72	78	95	70	68	210	34	60	15	149	144	187	140	135	66	109	203	
126	106	38	51	114	54	54	55	56	58	77	68	74	75	70	47	45	22	75	74	31	49	171	38	37	9	105	134	152	119	114	68	69	115	
1270	1173	433	627	1335	636	715	587	725	635	754	567	810	749	664	481	524	447	790	688	474	352	1432	358	452	720	1132	1102	1410	1208	1085	606	699	1105	
28	21	15	14	24	11	6	14	9	19	14	10	11	11	6	4	12	6	16	6	5	1	19	5	6	4	25	23	39	18	18	10	13	17	
9	9	2	4	8	9	8	4	4	6	11	1	2	9	7	1	4	3	1	7	2	3	8	1	2	2	9	9	17	11	10	12	9	6	
8	6	3	3	6	3	4	4	3	3	5	3	9	6	4	1	2	5	3	3	5	1	8	2	1	0	12	6	8	14	8	3	5	9	
12	10	11	3	14	3	3	7	5	3	7	4	5	6	1	1	1	1	6	10	2	5	13	0	5	0	14	6	7	6	4	3	6	9	
