"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	
1038	1038	806	1159	417	513	699	241	307	251	277	244	434	360	247	561	133	314	237	562	547	
1089	1072	820	1205	447	569	736	249	322	261	281	252	435	390	248	581	134	330	248	590	570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
589	561	437	555	179	375	490	171	255	189	202	156	335	239	132	333	79	191	143	265	422	
48	69	84	81	44	63	120	14	13	23	32	53	32	34	51	45	11	17	31	89	37	
452	442	299	569	224	131	126	64	54	49	47	43	68	117	65	203	44	122	74	236	111	
48	69	84	81	44	63	120	14	13	23	32	53	32	34	51	45	11	17	31	89	37	
589	561	437	555	179	375	490	171	255	189	202	156	335	239	132	333	79	191	143	265	422	
3	4	2	3	2	0	7	0	0	0	0	1	3	0	0	4	1	2	1	4	3	
634	626	519	633	221	438	603	185	268	212	234	208	364	273	183	374	89	206	173	350	456	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	4	2	1	0	0	2	0	0	0	0	2	0	2	4	1	5	0	0	2	
89	67	69	80	11	40	44	23	15	17	13	10	33	14	22	33	1	46	20	28	45	
54	37	30	53	15	22	31	18	17	8	13	8	17	20	19	32	11	18	11	37	22	
467	499	399	482	190	369	521	136	231	180	204	185	304	235	135	295	75	135	141	282	385	
7	3	6	2	2	2	1	1	3	4	2	2	1	1	4	4	0	0	0	0	2	
1	7	5	7	0	3	1	4	0	0	0	0	7	3	1	3	0	1	1	3	0	
5	4	5	7	1	1	4	0	2	1	2	3	0	0	0	2	1	1	0	0	0	
5	5	1	0	1	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	
