"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	
1360	1017	1160	1198	985	1084	1226	895	1154	1000	806	667	1066	1134	1116	1151	593	709	215	307	552	205	271	384	213	621	724	403	214	182	401	323	564	341	588	625	561	307	537	632	160	484	234	691	493	560	551	155	
1420	1060	1250	1240	1040	1150	1300	958	1200	1050	850	700	1100	1170	1130	1130	620	740	250	320	580	210	290	400	200	640	760	430	230	200	410	360	590	350	650	660	590	334	580	630	170	540	270	720	570	600	580	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
728	599	565	591	470	526	555	392	495	635	692	527	683	588	530	587	467	566	180	251	471	166	249	344	104	452	481	321	171	144	305	209	432	270	488	554	473	277	309	440	144	438	192	533	293	439	446	0	
124	76	224	105	129	196	429	200	111	198	49	40	110	150	187	178	49	38	21	41	69	29	10	11	13	112	71	69	30	30	78	95	59	49	62	37	57	16	66	61	8	23	33	132	80	77	51	155	
568	385	461	544	441	428	316	366	594	217	109	133	307	432	413	365	104	136	49	28	40	15	31	45	83	76	208	40	29	26	27	56	99	31	100	69	60	41	205	129	18	79	45	55	197	84	83	5	
124	76	224	105	129	196	429	200	111	198	49	40	110	150	187	178	49	38	21	41	69	29	10	11	13	112	71	69	30	30	78	95	59	49	62	37	57	16	66	61	8	23	33	132	80	77	51	155	
728	599	565	591	470	526	555	392	495	635	692	527	683	588	530	587	467	566	180	251	471	166	249	344	104	452	481	321	171	144	305	209	432	270	488	554	473	277	309	440	144	438	192	533	293	439	446	0	
10	4	8	7	7	14	15	7	8	9	10	1	10	12	4	8	3	8	2	0	0	0	1	2	0	90	4	0	2	1	0	0	2	2	1	0	4	2	1	4	0	0	2	0	2	0	0	0	
842	671	781	689	592	708	969	585	598	824	731	566	783	726	713	757	513	596	199	292	540	195	258	353	117	474	548	390	199	173	383	304	489	317	549	591	526	291	374	497	152	461	223	665	371	516	497	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	8	9	5	1	6	7	3	3	3	1	1	5	4	9	2	1	5	4	0	1	1	0	1	0	1	4	0	2	0	1	1	2	0	3	0	0	0	0	1	0	1	1	0	2	0	0	2	
139	120	130	129	88	110	125	67	77	70	67	48	115	171	140	133	48	71	16	5	19	22	8	41	35	57	64	39	24	8	20	5	7	17	42	13	12	3	53	63	4	35	6	25	19	47	33	1	
48	41	64	37	47	53	73	44	54	50	26	6	52	45	50	39	27	24	21	1	10	7	2	7	4	18	15	6	10	4	7	3	10	5	19	4	8	1	13	32	1	5	11	4	3	4	17	7	
641	486	556	501	443	525	746	459	449	680	624	507	587	486	495	565	431	486	156	286	508	163	248	301	78	387	459	344	162	159	353	291	466	292	479	571	498	285	305	398	144	416	203	634	347	465	447	139	
6	10	7	6	3	5	2	5	3	5	3	2	9	8	10	5	3	5	0	0	0	1	0	1	0	4	1	0	0	0	1	2	1	1	4	1	2	1	0	2	1	0	1	0	0	0	0	6	
2	4	2	8	6	1	7	2	6	5	3	1	5	7	4	8	2	5	1	0	0	0	0	1	0	1	4	0	1	0	0	1	0	1	0	1	3	1	0	0	1	2	1	1	0	0	0	0	
0	1	6	1	1	4	5	3	3	6	3	1	6	3	3	4	1	0	1	0	2	0	0	1	0	4	1	1	0	0	1	0	2	1	1	1	3	0	0	0	1	1	0	1	0	0	0	0	
2	1	7	2	3	4	4	2	3	5	4	0	4	2	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	1	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	
