"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №800"	
1752	1068	208	226	156	148	281	190	432	1228	559	390	189	583	188	214	432	538	175	111	120	182	320	1038	
1790	1010	212	230	143	132	277	177	383	1260	553	411	177	577	162	208	419	532	172	109	121	181	315	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
981	616	76	112	81	73	95	55	217	722	284	143	77	257	87	108	199	257	69	48	67	81	138	600	
38	91	62	42	14	19	74	25	12	21	26	59	29	51	25	38	104	45	50	22	32	32	84	28	
771	303	74	76	48	40	108	97	154	517	243	209	71	269	50	62	116	230	53	39	22	68	93	422	
38	91	62	42	14	19	74	25	12	21	26	59	29	51	25	38	104	45	50	22	32	32	84	28	
981	616	76	112	81	73	95	55	217	722	284	143	77	257	87	108	199	257	69	48	67	81	138	600	
11	5	2	0	0	0	0	1	4	12	6	2	0	1	0	0	1	2	1	0	0	1	3	4	
1008	702	136	154	95	92	169	79	225	731	304	200	106	307	112	146	302	300	118	70	99	112	219	624	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	1	0	1	0	1	2	2	6	0	2	0	3	1	1	0	0	0	1	0	1	4	8	
134	83	10	8	9	5	20	14	23	119	26	26	7	29	11	8	34	29	7	3	4	3	14	94	
85	60	18	16	10	5	19	4	24	50	23	17	11	14	5	17	29	13	7	6	3	7	16	55	
758	541	103	124	73	77	128	58	173	533	247	150	85	252	93	116	236	254	103	58	88	99	185	443	
11	6	1	2	0	4	0	0	0	9	3	0	1	2	0	4	2	1	1	0	3	0	0	10	
10	3	3	2	1	0	0	0	1	5	3	2	1	4	1	0	0	3	0	2	1	2	0	7	
4	3	0	0	1	1	1	1	2	6	1	1	0	1	1	0	1	0	0	0	0	0	0	3	
1	2	0	2	0	0	0	0	0	3	1	2	1	2	0	0	0	0	0	0	0	0	0	4	
