"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	
1015	1026	1023	272	174	586	181	1595	213	187	275	168	220	242	231	203	480	
1010	1010	1010	260	180	610	180	1600	270	180	280	200	215	230	200	220	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
624	575	699	223	97	348	112	860	172	133	180	129	105	160	130	159	204	
38	54	34	16	32	78	33	95	31	32	55	19	32	51	47	33	109	
348	381	277	21	51	184	35	645	67	15	45	52	78	19	23	28	182	
38	54	34	16	32	78	33	95	31	32	55	19	32	51	47	33	109	
624	575	699	223	97	348	112	860	172	133	180	129	105	160	130	159	204	
9	8	8	1	0	1	1	15	2	2	1	4	2	1	0	1	3	
653	621	725	238	129	425	144	940	201	163	234	144	135	210	177	191	310	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	6	2	3	6	3	6	2	3	2	0	2	12	2	0	0	
75	67	105	7	25	29	3	131	10	3	17	5	11	8	4	9	24	
89	75	71	17	8	58	15	108	17	8	24	33	11	23	13	14	21	
471	461	514	211	90	321	122	674	169	149	185	103	109	161	154	167	258	
5	7	10	1	1	2	0	3	2	0	1	2	1	3	1	0	5	
3	3	2	0	1	4	1	9	0	0	5	1	1	2	0	0	1	
5	2	7	0	1	3	0	4	1	0	0	0	0	1	0	1	0	
1	1	10	0	0	2	0	5	0	0	0	0	0	0	3	0	1	
