"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	
1803	2134	1583	1295	1608	1792	1572	1836	1883	2210	2337	2120	2064	1689	2320	2198	1367	2358	2408	2261	1862	1625	1743	1896	1290	2077	1304	2538	1898	1979	1998	2152	1816	2138	2038	1272	988	1866	1955	1428	1530	2112	2228	2093	2582	2328	2062	1829	1451	2013	2057	
1600	2000	1500	1100	1500	2000	1500	2000	2000	2000	2500	2000	2500	1500	2500	2000	1500	2000	2500	2500	2000	1500	1500	2000	1100	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	1100	1000	2000	2000	1500	1500	2500	2000	2000	2500	2100	2000	2000	1500	2000	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1178	1415	915	785	1158	1480	965	1221	1184	1333	1513	1244	1336	1151	1629	1544	930	1488	1440	1457	1078	1010	1055	1140	913	1345	949	1373	1249	1295	1232	1223	1000	1450	1343	803	654	1253	1223	897	1076	1322	1293	1261	1492	1445	1492	1176	872	1239	1371	
35	29	41	58	67	71	106	113	68	61	29	35	83	78	59	83	21	18	17	29	31	12	26	17	13	21	55	18	13	33	10	19	20	6	44	16	68	59	66	20	19	10	11	14	23	23	19	25	19	14	30	
387	556	544	257	275	449	429	666	748	606	958	721	1081	271	812	373	549	494	1043	1014	891	478	419	843	174	634	496	609	738	672	758	758	480	544	613	281	278	688	711	583	405	1168	696	725	985	632	489	799	609	747	599	
35	29	41	58	67	71	106	113	68	61	29	35	83	78	59	83	21	18	17	29	31	12	26	17	13	21	55	18	13	33	10	19	20	6	44	16	66	59	66	20	19	10	11	14	23	23	19	25	19	14	30	
1178	1408	904	758	1151	1478	945	1219	1154	1330	1511	1237	1336	1147	1625	1542	930	1469	1440	1457	1075	993	1055	1140	912	1343	944	1370	1247	1294	1232	1222	1000	1446	1343	802	650	1253	1220	891	1074	1322	1290	1261	1484	1443	1492	1176	871	1235	1365	
10	13	18	14	14	19	12	19	18	14	18	33	24	16	14	8	8	15	11	15	9	62	16	5	13	9	15	17	8	13	13	20	11	22	13	8	8	15	12	9	13	20	12	11	17	10	13	6	10	11	19	
1203	1424	927	802	1204	1530	1039	1313	1204	1377	1522	1239	1395	1209	1670	1617	943	1472	1446	1471	1097	943	1065	1152	912	1355	984	1371	1252	1314	1229	1221	1009	1430	1374	810	708	1297	1274	902	1080	1312	1289	1264	1490	1456	1498	1195	880	1238	1376	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	17	7	7	14	16	13	10	13	16	20	9	17	22	14	10	15	15	8	10	15	6	17	12	10	17	9	11	9	13	8	13	8	19	14	9	7	10	7	5	9	12	13	10	15	12	12	15	5	10	9	
109	84	59	68	115	108	50	129	116	107	133	116	123	119	135	128	111	142	105	141	109	89	89	123	103	118	105	120	112	125	101	102	89	125	108	61	52	137	115	77	96	127	126	129	137	133	132	95	91	128	117	
49	33	26	12	37	31	22	41	57	58	86	41	55	29	45	51	34	45	58	43	37	37	28	49	33	50	20	57	43	52	41	50	35	65	49	26	30	54	40	36	25	58	60	49	49	24	70	37	37	40	37	
882	1161	748	626	900	1211	881	919	835	1056	1092	919	1050	861	1254	1243	652	1048	1083	1130	822	687	813	843	694	1033	754	1053	947	986	944	953	762	1067	1055	594	576	984	988	698	836	1010	987	972	1138	1174	1163	921	669	864	1065	
61	39	36	33	46	69	17	86	88	59	83	64	55	83	101	69	60	113	74	78	54	60	52	57	26	72	41	49	65	58	54	49	56	52	53	53	12	49	51	39	45	47	36	43	70	47	58	56	32	89	66	
16	8	11	2	14	3	8	13	10	12	9	12	4	7	5	9	10	10	7	8	6	3	4	9	5	11	6	4	17	8	6	9	4	13	19	2	4	2	6	5	7	6	9	9	9	6	11	3	4	4	8	
19	29	18	17	13	27	16	33	18	24	22	26	33	24	37	45	25	33	28	25	13	8	18	22	19	12	24	23	16	24	24	14	28	22	22	32	14	24	22	10	16	15	17	19	28	14	11	21	12	33	23	
56	53	22	37	65	65	32	82	67	45	77	52	58	64	79	62	36	66	83	36	41	53	44	37	22	42	25	54	43	48	51	31	27	67	54	33	13	37	45	32	46	37	41	33	44	46	41	47	30	70	51	
