"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	
2106	2062	1651	2149	1312	1491	1371	1639	2455	1890	1668	1246	986	834	356	1022	862	1030	
1900	1900	1500	2050	1300	1300	1300	1500	2300	1800	1600	1280	1050	850	360	1000	800	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
985	1263	1281	1055	903	639	732	902	1450	806	759	1110	886	623	338	541	461	537	
306	207	176	194	123	433	256	162	127	143	116	23	14	50	6	125	110	161	
609	430	43	801	274	228	312	436	723	851	725	147	150	177	16	334	229	402	
306	207	176	194	123	433	256	162	127	143	116	23	14	50	6	125	110	161	
965	1263	1281	1055	901	639	732	902	1450	806	759	1110	886	623	338	541	461	537	
20	23	5	16	18	8	12	6	27	11	6	5	8	7	7	7	15	10	
1251	1447	1452	1233	1006	1064	976	1058	1550	938	869	1128	892	666	337	659	556	688	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	8	4	6	8	11	8	15	9	2	6	12	5	1	3	6	3	
139	80	134	115	126	156	122	198	249	248	212	203	385	67	40	121	133	80	
73	72	67	60	64	65	75	51	123	70	53	14	9	39	4	33	28	46	
1013	1255	1223	1028	786	808	710	787	1137	583	580	883	478	541	289	486	374	547	
6	18	7	3	2	11	17	3	7	12	6	1	3	4	0	8	4	5	
9	7	3	12	6	12	24	5	11	7	8	14	3	7	1	4	8	4	
3	10	6	7	9	3	11	3	4	5	3	2	1	2	1	4	2	2	
2	1	4	4	7	1	6	3	4	4	5	5	1	1	1	0	1	1	
