"УИК №244"	"УИК №245"	"УИК №679"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №960"	"УИК №961"	"УИК №964"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №2620"	
2155	1784	1305	2126	1712	1589	1336	464	1632	1271	1160	1269	1375	1084	1399	2008	2112	1262	1648	1654	1151	1730	1598	1707	536	1485	1502	1696	1948	1581	1806	1862	2060	2202	1990	2360	1868	1880	2161	1845	1794	2007	1993	1754	1860	1662	1531	2122	1575	1896	1258	2033	2108	2057	2074	2102	1812	2140	2267	2539	272	859	879	1809	2018	173	324	1070	2072	
1900	1600	1200	2100	1600	1400	1100	800	1500	1100	1100	1100	1200	900	1100	1800	1800	1100	1400	1400	1050	1500	1400	1400	400	1300	1400	1500	1800	1400	1700	1700	1900	2000	1800	2200	1700	1700	2000	1700	1700	1900	1800	1600	1600	1500	1300	1900	1400	1700	1200	1900	1900	1900	1900	2000	1600	2000	2100	2300	200	700	800	1500	1900	400	325	1000	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1284	1064	787	1259	913	910	782	460	913	782	734	769	873	668	881	1245	1329	878	898	1040	811	1142	965	1217	263	774	772	848	1067	949	1075	1083	1172	1311	1209	1415	1092	1134	1330	1268	852	1140	1076	914	1051	984	807	1145	881	1098	754	1150	1137	1120	1140	1262	948	1231	1257	1356	153	499	455	924	1146	168	216	706	1160	
12	12	9	12	16	11	26	0	8	20	18	14	14	12	17	26	17	26	22	23	6	18	25	12	1	11	10	12	10	7	11	15	12	14	17	11	10	18	6	5	17	4	37	9	11	18	10	13	15	8	5	17	15	9	11	14	16	12	11	16	11	18	11	25	20	0	91	23	13	
604	524	404	829	671	479	292	340	579	298	348	317	313	220	202	529	454	196	480	337	233	340	410	171	136	515	618	640	723	444	614	602	716	675	574	774	598	548	664	427	831	756	687	677	538	498	483	742	504	594	441	733	748	771	749	724	636	757	832	928	36	183	334	551	734	232	18	271	727	
12	12	9	12	16	10	26	0	8	20	18	14	14	12	17	26	17	26	22	23	6	18	25	12	1	11	10	12	10	7	11	15	12	14	17	11	10	18	6	5	17	4	37	9	11	18	10	13	15	8	5	17	15	9	11	14	16	12	11	16	11	18	11	25	20	0	91	23	13	
1283	1064	787	1259	913	910	782	460	913	782	734	768	873	668	881	1245	1328	878	898	1034	811	1142	965	1217	263	774	771	848	1067	949	1075	1083	1172	1311	1208	1413	1092	1134	1330	1268	852	1140	1076	914	1048	984	807	1145	881	1097	754	1150	1137	1120	1140	1262	948	1231	1257	1356	153	499	455	924	1146	168	216	705	1160	
13	18	11	6	10	16	12	6	8	20	10	6	13	11	13	15	17	13	12	18	8	11	10	15	3	11	11	18	12	7	13	10	22	15	13	29	9	9	18	27	11	17	23	14	7	16	17	12	15	19	10	13	10	16	11	12	19	11	11	23	1	6	8	13	18	0	1	11	13	
1282	1058	785	1265	919	904	796	454	913	782	742	776	874	669	885	1256	1328	891	908	1039	809	1149	980	1214	261	774	770	842	1065	949	1073	1088	1162	1310	1212	1395	1093	1143	1318	1246	858	1127	1090	909	1052	986	800	1146	881	1086	749	1154	1142	1113	1140	1264	945	1232	1257	1349	163	511	458	936	1148	168	306	717	1160	
