"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	
544	1244	1346	820	2719	1955	1785	2270	1438	1238	1124	1434	1402	2179	2373	1992	1969	1993	1749	1658	1960	1723	2265	2015	1686	1661	1566	2171	2345	2656	2117	1225	2144	2398	2450	1852	2337	2528	2278	2609	2795	2685	1737	2142	2504	2794	2383	2056	2671	2527	2548	2445	2233	1644	2262	1703	1818	2511	1622	1612	2316	1851	1603	1588	1808	1832	1488	260	874	528	2146	
500	1100	1200	700	2300	1700	1500	2000	1200	1100	900	1300	1200	1900	1900	1700	1600	1700	1500	1400	1700	1500	1900	1700	1500	1400	1300	1800	2000	2200	1800	1000	1800	2000	2000	1600	2000	2200	1900	2200	2400	2300	1500	1800	2000	2200	2000	1800	2200	2100	2200	2100	1900	1400	1800	1400	1500	2100	1300	1400	1900	1600	1400	2200	1500	1600	1300	300	800	400	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
312	660	858	533	1699	1240	1156	1565	854	653	696	999	953	1270	1559	1301	1329	1229	1197	1101	1256	1207	1465	1272	899	993	1037	1419	1533	1682	1262	771	1462	1665	1655	1209	1431	1604	1526	1715	1766	1734	1148	1265	1720	1684	1374	1317	1758	1638	1622	1351	1340	1035	1279	1041	1188	1475	1031	1044	1563	1213	786	1559	1091	984	860	145	513	292	1403	
17	24	10	25	56	47	95	15	35	49	28	28	54	152	87	31	47	39	30	32	42	27	60	26	24	12	27	30	51	51	42	54	26	43	39	21	66	29	31	39	31	15	31	48	13	182	128	44	46	41	46	224	27	31	176	55	34	48	29	42	25	14	14	29	40	52	18	1	30	3	24	
171	416	332	142	545	413	249	420	311	398	176	273	193	478	254	368	224	432	273	267	402	266	375	402	577	395	236	351	416	467	496	175	312	292	306	370	503	567	343	446	603	551	321	487	267	334	498	439	396	421	532	525	533	334	345	304	278	577	240	314	312	373	600	612	369	564	422	154	257	105	373	
17	24	10	25	56	47	95	15	35	49	28	28	54	152	87	31	47	39	30	32	42	27	60	26	24	12	27	30	51	51	42	54	26	43	39	21	66	29	31	39	31	15	31	48	13	182	128	44	46	41	46	224	27	31	176	55	34	48	29	42	25	14	14	29	40	52	18	1	30	3	24	
312	660	858	533	1699	1239	1156	1565	854	653	695	999	953	1269	1559	1301	1329	1229	1196	1101	1256	1207	1465	1271	899	993	1037	1418	1533	1682	1262	771	1462	1665	1655	1209	1431	1604	1526	1715	1766	1734	1148	1264	1720	1684	1374	1317	1758	1638	1622	1351	1340	1035	1279	1041	1188	1475	1031	1044	1563	1213	784	1559	1091	984	860	145	513	292	1403	
4	5	10	4	15	20	15	22	14	7	11	17	18	24	15	19	23	12	16	17	20	11	18	21	14	8	9	17	25	34	17	9	24	20	21	18	12	19	7	17	24	26	10	17	18	28	19	15	24	21	22	30	11	14	17	13	20	33	13	13	18	22	11	24	14	17	13	3	9	2	14	
325	679	858	554	1740	1266	1236	1558	875	695	712	1010	989	1397	1631	1313	1353	1256	1210	1116	1278	1223	1507	1276	909	997	1055	1431	1559	1699	1287	816	1464	1688	1673	1212	1485	1614	1550	1737	1773	1723	1169	1295	1715	1838	1483	1346	1780	1658	1646	1545	1356	1052	1438	1083	1202	1490	1047	1073	1570	1205	787	1564	1117	1019	865	143	534	293	1413	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	3	5	11	12	9	11	6	4	7	5	8	10	12	9	7	8	16	8	10	9	9	5	5	4	4	8	13	9	12	4	11	18	12	9	12	14	10	10	15	16	6	6	16	12	7	7	10	14	15	13	6	5	13	9	13	5	4	5	9	8	4	11	5	6	6	2	2	2	14	
50	83	103	58	199	139	161	177	97	74	85	112	104	136	184	140	149	127	140	121	153	124	159	106	87	112	136	166	192	182	142	78	146	192	179	159	166	183	190	162	193	209	129	146	188	176	150	165	196	192	197	166	142	137	156	120	163	175	132	108	165	135	120	162	113	109	95	16	74	32	166	
27	55	79	37	101	70	80	118	68	60	37	66	57	83	129	91	106	92	87	86	71	72	104	88	83	80	80	92	116	125	104	97	111	121	114	81	106	129	123	127	125	108	87	91	117	123	132	85	107	109	111	152	117	74	107	77	90	103	90	95	107	74	78	134	97	79	50	17	61	18	112	
237	512	649	438	1368	994	936	1183	676	531	551	792	764	1100	1231	1019	1024	970	927	863	969	977	1184	1023	705	767	785	1104	1162	1321	983	598	1125	1289	1296	917	1143	1227	1155	1365	1383	1316	903	1000	1303	1469	1158	1040	1407	1270	1258	1152	1049	798	1100	828	871	1157	785	815	1210	935	558	1219	877	797	689	105	376	233	1050	
0	5	10	7	27	22	21	26	8	11	13	22	19	27	38	24	35	23	14	17	34	14	17	15	10	15	21	25	33	28	17	18	19	32	29	15	20	22	29	31	26	33	18	22	40	26	9	23	20	29	23	25	16	22	28	21	19	17	21	23	36	18	11	10	7	8	11	3	7	4	30	
2	9	5	1	12	9	5	12	8	1	6	2	10	14	11	11	6	8	11	6	12	4	6	14	10	9	6	7	13	9	6	9	13	9	9	9	9	14	7	15	6	7	6	4	13	10	11	7	17	14	13	14	10	3	12	9	17	13	3	4	10	8	6	13	8	7	9	0	4	1	14	
3	8	4	7	11	10	18	18	8	7	5	6	20	12	5	7	11	16	4	8	16	11	11	11	4	7	13	17	11	16	9	4	12	4	11	9	8	10	16	9	11	20	10	15	25	10	11	6	12	12	9	13	8	3	13	9	9	5	7	7	11	12	7	6	7	7	4	0	1	1	10	
3	1	5	1	11	10	6	13	4	7	8	5	7	15	21	12	15	12	11	7	13	12	17	14	5	3	10	12	19	9	14	8	27	23	23	13	21	15	20	18	14	14	10	11	13	12	5	13	11	18	20	10	8	10	9	10	20	15	5	16	22	15	3	9	3	6	1	0	9	2	17	
