"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №2720"	
2262	1412	2304	947	885	1574	1790	2501	1725	1195	1041	2133	2204	2303	1319	1033	2279	2291	2607	2485	507	2379	1299	1837	571	1913	506	373	422	1910	173	
2250	1400	2350	900	850	1550	1750	2500	1650	1200	1000	2100	2200	2200	1300	1000	2300	2250	2600	2450	500	2350	1250	1800	550	1900	450	300	400	1900	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1497	677	1399	577	558	1065	1155	1592	1093	757	611	1319	1423	1524	829	674	1382	1465	1642	1484	237	1281	740	1098	310	1043	293	213	194	1190	106	
16	19	40	12	20	23	38	35	23	18	20	20	37	27	24	20	51	32	37	23	55	60	14	21	10	40	31	26	8	32	50	
737	704	911	311	272	462	557	873	534	425	369	761	740	649	447	306	867	753	921	943	208	1009	496	681	230	817	126	61	198	678	4	
16	19	40	12	20	23	38	35	23	18	20	20	37	27	24	20	51	32	37	23	55	60	14	21	10	40	31	26	8	32	50	
1497	677	1399	577	558	1065	1155	1592	1093	757	611	1315	1423	1524	829	674	1382	1465	1642	1484	237	1281	739	1098	310	1043	293	213	194	1190	106	
23	11	15	7	9	12	10	25	11	15	4	8	16	26	5	18	11	23	25	22	1	14	7	5	5	20	1	3	2	14	2	
1490	685	1424	582	569	1076	1183	1602	1105	760	627	1327	1444	1525	848	676	1422	1474	1654	1485	291	1327	746	1114	315	1063	323	236	200	1208	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	12	5	2	7	23	12	7	3	7	8	9	10	8	6	9	10	14	12	3	11	5	10	2	7	5	0	3	7	0	
176	84	176	68	63	121	139	177	114	88	79	152	172	159	93	61	131	142	160	177	33	146	75	110	37	128	27	18	23	135	6	
97	61	102	39	40	62	59	94	69	49	40	101	71	103	66	45	96	76	107	93	23	84	66	83	24	63	26	18	21	84	12	
1128	513	1078	428	438	824	906	1251	864	583	475	1009	1126	1200	636	515	1128	1180	1318	1134	221	1028	574	867	244	831	254	181	147	931	130	
37	10	16	27	9	32	25	31	17	19	10	30	22	16	20	24	15	22	25	32	6	26	12	21	1	16	3	6	3	21	1	
11	3	13	5	2	5	7	11	8	2	2	11	10	13	9	8	8	19	9	7	2	10	4	4	4	5	4	3	1	9	3	
12	8	19	5	7	13	13	11	9	8	5	11	12	10	7	8	23	13	7	17	3	6	4	10	2	5	1	6	1	8	0	
21	1	8	5	8	12	11	15	17	8	9	5	22	14	9	9	12	12	14	13	0	16	6	9	1	8	3	4	1	13	2	
