"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	
2291	1499	1977	192	555	85	376	213	471	65	232	197	289	98	244	77	197	611	217	568	476	
2380	1625	2030	225	650	80	450	230	530	60	250	200	340	115	270	80	210	720	225	620	510	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1401	1065	1271	127	361	59	271	138	299	43	134	144	234	59	159	55	128	394	145	362	225	
241	160	216	39	140	14	65	35	83	13	58	37	36	19	32	5	46	107	39	93	75	
738	400	543	59	149	7	114	57	148	4	58	19	70	37	79	20	36	219	41	165	210	
241	160	216	39	140	14	65	35	83	13	58	37	36	19	32	5	46	107	39	93	75	
1401	1065	1271	127	361	59	271	138	299	43	134	144	234	59	159	55	128	394	145	362	225	
8	23	8	0	1	0	2	5	3	0	0	0	4	0	1	0	0	4	0	6	7	
1634	1202	1479	166	500	73	334	168	379	56	192	181	266	78	190	60	174	497	184	449	293	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	12	1	4	0	2	1	1	0	2	1	1	0	4	0	0	4	0	1	0	
161	102	151	9	37	5	29	16	20	3	19	2	21	9	24	4	12	57	3	30	20	
92	43	86	11	32	1	20	9	22	2	4	4	13	3	21	4	8	17	6	22	11	
1348	1026	1201	140	425	67	278	138	331	50	161	169	228	66	139	52	151	408	175	390	255	
3	14	10	1	0	0	2	0	0	0	0	1	1	0	2	0	0	5	0	1	4	
8	8	9	3	0	0	0	2	3	1	4	2	1	0	0	0	2	5	0	4	3	
5	2	4	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	0	
6	3	6	0	2	0	2	1	1	0	1	2	0	0	0	0	1	0	0	0	0	
