"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	
440	273	334	374	180	311	603	224	214	606	539	334	71	2021	888	558	140	136	247	345	863	
370	270	270	310	150	250	500	200	200	540	450	290	60	1700	700	500	120	120	240	300	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
305	214	170	204	94	177	338	107	128	406	271	203	39	1151	531	333	72	70	181	195	400	
32	46	83	77	33	42	116	74	36	77	79	48	12	117	87	87	28	12	31	35	153	
33	10	17	29	23	31	46	19	36	57	100	39	9	432	82	80	20	38	28	70	147	
32	46	83	77	33	42	116	74	36	77	79	48	12	117	87	87	28	12	31	35	153	
305	214	170	204	94	177	338	107	128	406	271	203	39	1151	531	333	72	70	181	195	400	
6	0	0	2	1	3	3	3	0	2	1	0	1	12	7	3	0	0	0	0	1	
331	260	253	279	126	216	451	178	164	481	349	251	50	1256	611	417	100	82	212	230	552	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	1	2	2	6	2	2	2	2	1	0	6	7	1	0	0	3	1	3	
33	22	30	30	26	19	77	6	14	59	30	19	2	235	91	60	5	12	26	44	42	
22	19	18	20	2	10	28	12	5	12	7	18	2	54	30	24	8	2	10	10	20	
269	217	195	224	91	183	333	154	139	398	303	210	46	944	473	331	85	67	171	173	484	
0	0	3	0	3	1	5	2	3	2	4	0	0	8	1	0	2	0	1	0	2	
3	1	3	4	2	1	2	0	0	5	2	2	0	7	6	0	0	0	1	0	0	
2	0	1	0	0	0	0	1	1	3	0	0	0	0	2	0	0	0	0	0	0	
0	0	2	0	0	0	0	1	0	0	1	1	0	2	1	1	0	1	0	2	1	
