"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №488"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	
890	659	700	945	723	910	710	1171	925	1027	788	1278	1006	941	1035	501	159	148	208	606	681	419	168	172	118	329	456	220	502	556	255	344	200	141	142	351	218	171	292	976	262	449	621	341	209	165	130	299	
866	614	664	895	683	878	662	1136	900	1024	750	1205	970	910	1077	515	162	152	210	600	680	425	173	178	123	334	453	221	503	560	260	342	207	143	143	356	220	175	298	1078	264	453	622	340	213	170	135	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
758	515	623	839	600	663	506	736	792	888	671	908	860	808	856	455	147	140	194	571	646	400	149	162	100	297	446	219	471	531	222	281	166	119	129	301	188	142	259	882	253	417	601	293	192	155	111	268	
52	22	27	40	28	34	44	64	34	34	40	29	47	45	30	15	9	8	11	22	8	11	12	8	15	25	7	0	28	21	28	14	24	11	9	34	20	23	22	64	0	14	8	43	15	7	15	19	
56	77	14	16	55	181	112	336	74	102	39	268	63	57	191	45	6	4	5	7	26	14	12	8	8	12	0	2	4	8	10	47	17	13	5	21	12	10	17	132	11	22	13	4	6	8	9	13	
52	22	27	40	28	34	44	64	34	34	40	29	47	45	30	15	9	8	11	22	8	11	12	8	15	25	7	0	28	21	28	14	24	11	9	34	20	23	22	64	0	14	8	43	15	7	15	19	
758	515	623	839	600	663	506	733	792	882	671	908	860	808	855	455	147	140	194	571	646	400	149	162	100	297	446	219	471	531	222	281	166	119	129	301	188	142	259	882	253	417	601	293	192	155	111	268	
12	4	0	0	3	11	5	13	6	2	7	18	0	7	1	5	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	1	3	4	0	0	0	28	0	0	1	0	0	1	0	1	
798	533	650	879	625	686	545	784	820	914	704	919	907	846	884	465	156	148	205	593	639	411	161	170	115	322	453	219	499	552	250	294	190	129	135	331	208	165	281	918	253	431	608	336	207	161	126	286	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	3	2	4	7	4	1	9	9	6	7	5	1	3	5	2	0	0	0	2	3	1	0	0	0	2	0	0	1	1	2	1	0	1	0	0	2	0	1	3	0	1	2	1	1	0	0	1	
80	63	50	39	33	40	66	118	77	82	32	138	35	41	88	16	4	7	2	39	21	12	2	6	2	4	5	3	10	5	7	31	3	17	19	29	17	4	13	34	2	3	39	5	2	7	6	16	
65	34	35	29	23	57	46	60	57	46	31	78	29	29	49	10	4	3	5	18	16	5	4	1	2	3	3	3	4	3	4	21	9	5	1	9	10	21	18	19	2	5	11	2	2	2	4	6	
624	416	544	785	543	559	409	567	655	757	620	658	816	751	714	420	144	137	195	520	588	390	154	161	110	307	444	213	478	537	232	237	178	101	111	278	177	136	242	854	247	416	538	318	198	151	116	251	
7	5	10	5	7	7	6	14	4	14	4	15	6	7	11	7	0	1	2	10	5	1	0	1	1	2	1	0	2	2	2	4	0	1	2	5	1	4	3	3	1	3	5	5	1	1	0	3	
7	6	5	6	5	3	1	4	9	3	1	12	6	5	7	5	2	0	1	1	3	1	1	0	0	2	0	0	0	1	2	0	0	1	0	3	0	0	0	2	1	1	5	0	1	0	0	2	
4	5	4	4	3	7	6	5	6	2	3	6	5	5	4	2	1	0	0	2	2	1	0	0	0	2	0	0	3	1	1	0	0	1	2	2	1	0	2	1	0	2	4	3	1	0	0	0	
2	1	0	7	4	9	10	7	3	4	6	7	9	5	6	3	1	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	2	0	5	0	0	2	2	0	0	4	2	1	0	0	7	
