"УИК №2696"	"УИК №2697"	"УИК №2698"	"УИК №2699"	"УИК №2700"	"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	"УИК №2720"	"УИК №2721"	"УИК №2722"	"УИК №2723"	"УИК №2724"	"УИК №2725"	"УИК №2726"	"УИК №2727"	"УИК №2728"	"УИК №2729"	
475	252	82	512	442	128	162	438	152	296	394	213	931	135	329	218	177	424	367	147	404	653	419	352	411	578	1177	1051	1184	915	378	374	290	97	
485	254	83	515	455	134	167	443	155	306	405	219	940	138	338	229	179	432	376	148	418	662	422	360	417	583	1246	1136	1254	931	378	379	296	107	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
460	235	78	467	429	111	151	427	144	289	372	187	841	128	321	197	161	410	350	140	376	630	393	332	386	542	1072	940	1081	857	316	329	272	91	
10	12	3	42	11	14	8	7	7	7	19	15	73	7	6	18	15	10	14	5	27	18	21	17	16	34	81	90	10	39	60	43	15	6	
15	7	2	6	15	9	8	9	4	10	14	17	26	3	11	14	3	12	12	3	15	14	8	11	15	7	93	106	163	35	2	7	9	10	
10	12	3	42	11	14	8	7	7	7	19	15	73	7	6	18	15	10	14	5	27	18	21	17	16	34	81	90	10	39	60	43	15	6	
460	235	78	467	429	111	151	427	144	289	372	187	841	128	321	197	161	410	350	140	376	630	393	332	386	542	1071	939	1079	857	316	329	272	91	
1	0	0	1	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	3	0	3	2	7	19	1	0	1	0	
469	247	81	508	440	125	158	434	151	296	391	202	908	135	327	215	176	420	364	145	403	648	411	349	399	576	1149	1027	1082	877	375	372	286	97	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	5	4	4	5	0	0	0	0	
4	5	2	9	3	1	1	9	10	9	4	5	28	2	2	2	1	5	2	3	9	5	6	8	6	11	11	16	215	69	5	2	4	2	
2	1	0	0	1	1	1	3	3	2	3	3	6	3	1	1	0	4	0	0	0	2	2	2	0	3	2	7	20	25	3	1	2	0	
461	240	79	495	435	122	156	421	138	279	384	194	866	130	324	209	174	411	360	139	394	636	403	339	391	558	1114	995	824	767	365	369	279	95	
1	0	0	1	1	0	0	1	0	6	0	0	4	0	0	1	0	0	1	3	0	1	0	0	1	0	6	4	8	3	2	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	5	3	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	4	5	0	0	0	0	
