"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	
1510	2115	1742	570	562	1028	1569	1016	162	226	526	126	702	218	84	238	
1400	1900	1650	500	450	900	1450	950	140	200	480	120	650	240	90	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
867	1208	921	325	371	544	775	586	94	135	300	67	410	142	31	156	
47	50	42	25	52	56	63	69	16	0	31	3	39	11	3	14	
486	642	687	150	27	300	612	295	30	65	149	50	201	87	56	80	
46	50	42	25	52	56	63	69	16	0	31	3	39	11	3	14	
866	1207	921	325	371	544	775	586	94	135	300	67	410	142	31	156	
6	7	7	2	5	6	7	11	0	2	0	1	1	1	0	0	
906	1250	956	348	418	594	831	644	110	133	331	69	448	152	34	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	8	11	2	3	2	2	6	0	0	4	1	2	4	0	0	
147	233	205	42	73	45	66	44	4	12	52	4	35	13	1	18	
49	109	65	25	25	42	94	70	17	25	25	14	46	6	0	19	
681	871	652	273	310	493	652	504	86	94	246	50	359	127	33	126	
10	11	7	1	2	3	4	10	0	0	1	0	2	1	0	2	
5	8	8	3	2	3	5	5	2	1	2	0	1	0	0	3	
7	4	6	0	1	3	5	0	0	1	1	0	1	0	0	1	
4	6	2	2	2	3	3	5	1	0	0	0	2	1	0	1	
